TotRmsAbvGrd,YearBuilt,LandContour,BsmtFinSF1,GarageCars,1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
5,1963,Lvl,630,2,970,970,0,970,5,132500
7,1997,Lvl,994,2,1493,1478,0,1493,6,208900
9,2006,Lvl,0,3,2069,2153,574,2643,9,380000
7,2007,Lvl,1288,3,1718,1705,0,1718,8,297000
7,1937,Bnk,168,2,1131,907,0,1131,4,89471
8,2004,Lvl,1261,3,1850,1833,0,1850,9,326000
6,2003,HLS,1567,3,1792,1792,0,1792,9,374000
7,1915,Lvl,299,1,916,910,910,1826,7,155000
5,1998,Lvl,897,2,1216,1216,0,1216,6,164000
6,1962,Lvl,588,1,999,999,0,999,5,132500
5,1950,Lvl,607,1,1113,1113,0,1113,5,147000
6,1965,Lvl,836,2,1073,1073,0,1073,5,156000
7,1971,Lvl,998,2,1484,1484,0,1484,5,175000
10,1900,Lvl,664,2,1766,954,648,2414,5,160000
3,1970,Lvl,515,1,630,630,0,630,4,86000
4,1976,Lvl,0,1,616,264,688,1304,5,115000
5,1941,Lvl,403,1,958,806,620,1578,6,133000
8,2006,Lvl,0,2,728,728,728,1456,6,172785
6,1960,Lvl,374,1,1269,1269,0,1269,5,155000
4,1938,Lvl,0,1,886,190,0,886,5,91300
4,1920,Lvl,495,0,720,720,0,720,4,34900
10,1992,Lvl,1231,2,3228,3200,0,3228,8,430000
8,1925,Lvl,329,1,1133,1026,687,1820,7,184000
5,1967,Lvl,450,1,899,864,0,899,5,130000
5,1958,Lvl,111,1,912,912,0,912,5,120000
7,1973,Lvl,356,1,672,672,546,1218,6,113000
7,2005,Lvl,400,2,866,866,902,1768,7,226700
6,1965,Lvl,698,2,1214,1214,0,1214,5,140000
6,1959,Lvl,1247,2,1801,1501,0,1801,7,289000
6,1974,Lvl,257,2,855,855,467,1322,6,147000
10,1952,Lvl,0,2,960,960,1000,1960,5,124500
8,1993,Lvl,380,2,1065,777,846,1911,8,215000
4,2009,Lvl,27,2,1218,1218,0,1218,6,208300
7,1928,Lvl,141,2,689,689,689,1378,7,161000
6,1959,Lvl,991,1,1041,1041,0,1041,5,124500
6,1951,Lvl,650,1,1363,1008,0,1363,5,164900
6,2005,Lvl,0,2,1368,1368,0,1368,7,202665
5,1958,Lvl,521,2,864,864,0,864,5,129900
5,1983,Bnk,336,2,1080,1084,0,1080,6,134000
5,1926,Lvl,0,1,789,768,0,789,5,96500
9,2009,Lvl,1436,3,2020,2006,0,2020,10,402861
7,1972,Lvl,0,2,1378,689,741,2119,6,158000
7,1996,Lvl,0,3,1277,1264,1067,2344,7,265000
7,1998,Lvl,706,2,882,794,914,1796,6,211000
9,1926,Lvl,0,1,1276,1276,804,2080,7,234000
7,1900,Lvl,0,0,694,0,600,1294,4,106250
6,1957,Lvl,777,1,1244,1244,0,1244,6,150000
7,1947,Lvl,399,2,1004,1004,660,1664,6,159000
11,2007,Bnk,2260,3,3138,3138,1538,4676,10,184750
8,1996,Lvl,719,3,1383,1379,1015,2398,7,315750
6,2005,Lvl,0,2,1266,1257,0,1266,7,176000
4,1956,Lvl,377,1,928,928,0,928,5,132000
11,2008,Lvl,1330,3,1476,1452,1237,2713,9,446261
5,1920,Lvl,348,0,605,528,0,605,4,86000
9,1957,Lvl,1219,2,2515,2035,0,2515,6,200624
5,1988,Lvl,783,2,1509,1461,0,1509,6,175000
6,1920,Lvl,0,2,751,611,611,1362,6,128000
5,1955,Lvl,0,1,827,0,0,827,5,107500
2,1946,Low,0,0,334,0,0,334,1,39300
6,2004,Lvl,0,2,707,707,707,1414,8,178000
5,1910,Lvl,969,0,820,1117,527,1347,5,107500
8,1998,Lvl,0,2,880,880,844,1724,7,188000
5,1972,Lvl,600,2,864,864,0,864,4,111250
7,1968,Lvl,673,1,1159,1051,0,1159,5,158000
6,2001,Lvl,1358,2,1601,1581,0,1601,8,272000
8,2006,Lvl,1260,3,1838,1838,0,1838,9,315000
8,2000,Lvl,0,3,997,969,1288,2285,8,248000
7,1998,Lvl,144,2,1680,1650,0,1680,7,213250
4,1998,Lvl,584,1,767,723,0,767,7,133000
7,2006,Lvl,554,2,664,654,832,1496,7,179665
9,1988,Lvl,1002,3,1377,1204,806,2183,7,229000
6,1923,Bnk,300,2,915,1065,720,1635,6,210000
5,1970,Lvl,619,2,768,768,0,768,5,129500
4,1955,HLS,180,2,825,825,0,825,5,125000
8,2003,Lvl,0,2,912,912,1182,2094,7,263000
4,1977,Lvl,559,2,1069,1069,0,1069,6,140000
5,1957,Lvl,308,1,928,928,0,928,5,112500
7,2006,Lvl,0,3,1717,1709,0,1717,8,255500
5,1949,Lvl,0,2,1126,0,0,1126,4,108000
8,2003,Lvl,866,3,1006,998,1040,2046,7,284000
5,1922,Lvl,0,1,1048,993,0,1048,5,113000
6,1957,Lvl,895,1,1092,1092,0,1092,5,141000
7,1920,Low,637,1,897,637,439,1336,4,108000
6,1996,HLS,604,2,729,729,717,1446,7,175000
7,2003,Lvl,0,2,1557,1374,0,1557,7,234000
5,1957,Lvl,1302,2,1392,1392,0,1392,5,121500
6,1974,Lvl,1071,2,1389,1389,0,1389,5,170000
6,1940,Lvl,290,0,996,996,0,996,5,108000
8,1918,Lvl,0,2,1163,1163,511,1674,6,185000
9,1992,Lvl,728,2,1166,1095,1129,2295,7,268000
6,1915,Bnk,0,1,841,806,806,1647,6,128000
11,2005,Lvl,0,3,1134,1122,1370,2504,9,325000
7,2004,Lvl,2,2,1535,1517,0,1535,7,214000
5,1983,Low,1441,2,1496,1496,636,2132,8,316600
4,1979,Lvl,943,2,943,943,0,943,5,135960
10,1965,Lvl,231,2,1728,1728,0,1728,5,142600
4,1959,Lvl,414,1,864,864,0,864,6,120000
6,2009,HLS,0,2,846,846,846,1692,7,224500
8,2000,Lvl,0,2,774,384,656,1430,7,170000
5,1971,Lvl,349,1,576,372,533,1109,5,139000
6,1947,Lvl,442,1,832,832,384,1216,5,118500
6,1928,Lvl,0,1,877,861,600,1477,7,145000
6,1966,Lvl,328,2,1320,1164,0,1320,5,164500
5,2007,Lvl,0,2,703,689,689,1392,7,146000
7,1954,Lvl,0,1,1050,1050,745,1795,5,131500
7,1960,Lvl,594,2,1429,1144,0,1429,6,181900
8,2008,Lvl,0,3,2042,2042,0,2042,8,253293
5,1990,Lvl,816,0,816,816,0,816,6,118500
9,1893,Lvl,0,2,1521,1237,1254,2775,10,325000
6,1935,Lvl,0,1,989,884,584,1573,4,133000
7,2005,Lvl,1460,3,2028,1868,0,2028,8,369900
5,1918,Lvl,210,1,838,816,0,838,6,130000
4,1982,Lvl,672,2,860,840,0,860,5,137000
5,1968,Low,1324,1,1473,1437,0,1473,5,143000
4,1930,Lvl,0,1,779,742,0,935,5,79500
6,2004,Lvl,490,2,770,770,812,1582,7,185900
10,2008,Lvl,1338,3,1728,1722,568,2296,10,451950
4,1982,Lvl,816,2,816,816,0,816,5,138000
4,2003,Lvl,685,2,848,848,0,848,6,140000
5,1975,Lvl,0,1,924,924,0,924,5,110000
7,2005,Lvl,1422,3,1826,1814,0,1826,8,319000
7,1910,Lvl,0,1,684,684,684,1368,6,114504
7,2006,Lvl,0,3,1402,1258,0,1402,7,194201
7,1977,Bnk,1283,2,1647,1430,0,1647,5,217500
6,1980,Lvl,81,2,716,716,840,1556,6,151000
8,2005,Lvl,546,2,1058,1058,846,1904,8,275000
6,1937,Bnk,0,1,780,780,595,1375,6,141000
8,1992,Lvl,789,2,927,908,988,1915,8,220000
4,2004,Lvl,0,2,600,600,600,1200,7,151000
6,2002,Lvl,922,2,1494,1494,0,1494,7,221000
7,1965,Lvl,454,2,1186,768,800,1986,7,205000
6,1996,Low,732,2,1040,1040,0,1040,5,152000
8,1948,Bnk,603,1,1112,896,896,2008,5,225000
10,1934,HLS,428,2,1940,965,1254,3194,8,359100
5,1961,Lvl,903,1,1029,1029,0,1029,4,118500
8,2000,Lvl,904,3,1476,1440,677,2153,9,313000
6,1978,Lvl,605,2,1032,1032,0,1032,6,148000
7,2001,Lvl,990,2,1299,1299,573,1872,8,261500
6,2007,Lvl,206,0,1120,1120,0,1120,5,147000
3,1972,Lvl,150,0,630,630,0,630,4,75500
6,1963,Lvl,763,2,1054,936,0,1054,6,137500
7,2002,Lvl,457,2,807,783,702,1509,6,183200
4,1954,HLS,0,2,832,832,0,832,6,105500
9,2007,Lvl,48,3,1828,1822,0,1828,9,314813
10,2003,Lvl,871,3,1482,1482,780,2262,8,305000
5,1914,Lvl,41,0,864,864,0,864,3,67000
9,1974,Lvl,956,2,1548,1522,1066,2614,6,240000
6,1977,Lvl,560,2,980,980,0,980,5,135000
4,2000,Lvl,420,2,756,756,756,1512,6,168500
8,1972,Lvl,247,2,1012,732,778,1790,6,165150
5,1962,Lvl,0,2,1116,1116,0,1116,6,160000
6,1960,Lvl,0,1,1422,978,0,1422,5,139900
7,1955,Lvl,674,1,1520,1156,0,1520,6,153000
9,1969,HLS,650,2,1040,1040,1040,2080,5,135000
6,1964,Lvl,624,2,1350,1248,0,1350,6,168500
8,1880,Lvl,0,1,1089,636,661,1750,5,124000
6,2006,Lvl,24,2,1554,1554,0,1554,8,209500
6,1977,Lvl,822,2,1411,1386,0,1411,7,82500
6,1954,Lvl,480,1,1056,1056,0,1056,5,139400
4,1980,Lvl,1056,2,1056,1056,0,1056,6,144000
14,1914,Bnk,256,0,1440,1440,1440,3395,6,200000
4,1936,Lvl,0,0,800,264,0,800,2,60000
7,1954,Lvl,0,1,811,811,576,1387,5,93000
4,1910,Lvl,0,0,796,796,0,796,5,85000
7,2006,Lvl,1154,3,1567,1520,0,1567,8,264561
6,2003,Lvl,1218,2,1518,1518,0,1518,8,274000
7,2001,Lvl,738,2,1057,1057,872,1929,7,226000
9,1972,Lvl,1410,2,2000,1952,704,2704,8,345000
7,1969,Lvl,493,2,780,780,840,1620,5,152000
7,2009,Lvl,1121,3,1766,1766,0,1766,9,370878
5,1971,Lvl,282,2,981,981,0,981,6,143250
7,1950,Lvl,0,2,1048,0,0,1048,5,98300
5,1953,Lvl,500,2,1094,1094,0,1094,6,155000
7,1966,Lvl,0,2,1051,756,788,1839,6,155000
3,1970,Lvl,131,0,630,630,0,630,4,84500
7,2007,Lvl,0,2,822,813,843,1665,7,205950
7,1940,Lvl,0,1,755,755,755,1510,4,108000
7,1996,Lvl,0,2,909,880,807,1716,7,191000
7,1906,Lvl,0,1,756,756,713,1469,6,135000
7,1995,Lvl,1696,3,2113,2109,0,2113,8,350000
6,1971,Lvl,0,1,525,525,567,1092,6,88000
5,1959,Lvl,806,1,1053,1053,0,1053,5,145500
6,1931,HLS,0,1,851,776,651,1502,7,149000
6,1948,Lvl,0,1,912,912,546,1458,6,97500
7,1964,Lvl,637,2,1486,1486,0,1486,5,167000
7,1976,Lvl,0,2,1142,793,793,1935,7,197900
8,1994,Lvl,1361,3,1686,1629,762,2448,8,402000
5,1968,Lvl,0,2,1392,1392,0,1392,6,110000
6,1972,Lvl,920,2,1181,1138,0,1181,4,137500
8,2005,Lvl,1721,3,2097,2077,0,2097,8,423000
7,2000,Lvl,0,2,1454,1406,482,1936,8,230500
7,1965,Lvl,187,2,1465,1021,915,2380,6,129000
7,1994,Lvl,1138,2,1679,1408,0,1679,6,193500
6,1956,Bnk,988,2,1437,1188,0,1437,5,168000
5,1922,Lvl,0,1,1180,700,0,1180,4,137500
7,2005,Lvl,193,2,738,738,738,1476,6,173500
6,1925,Lvl,551,1,697,672,672,1369,6,103600
6,1977,Lvl,767,2,1208,1208,0,1208,6,165000
7,1957,Lvl,1186,2,1839,1477,0,1839,6,257500
5,1965,Lvl,892,1,1136,1136,0,1136,6,140000
7,1978,Lvl,311,2,855,855,586,1441,6,148500
8,1900,Lvl,0,3,1095,1095,679,1774,4,87000
5,1924,Lvl,0,1,792,768,0,792,5,109500
7,2008,Lvl,0,3,2046,2046,0,2046,8,372500
5,1961,Lvl,827,2,988,988,0,988,5,128500
5,1980,Lvl,543,1,923,923,0,923,6,143000
6,1932,Bnk,182,1,848,793,672,1520,5,159434
6,1996,HLS,1003,2,1291,1291,0,1291,6,173000
7,2002,Lvl,1059,3,1668,1626,0,1668,9,285000
7,1998,Lvl,0,2,1195,1195,644,1839,7,221000
6,1984,Lvl,828,2,1190,1190,900,2090,7,207500
7,2007,Lvl,0,2,874,874,887,1761,7,227875
4,2004,Lvl,239,2,551,551,551,1102,7,148800
7,2007,HLS,945,2,1419,1419,0,1419,8,392000
6,2005,Lvl,20,2,1362,1362,0,1362,6,194700
3,2004,Lvl,697,2,848,848,0,848,6,141000
10,1994,Lvl,1455,3,2444,2444,1872,4316,10,755000
9,1989,Lvl,965,2,1238,1210,1281,2519,7,335000
4,1921,Lvl,0,1,1073,1073,0,1073,5,108480
5,1936,Lvl,0,2,1067,927,472,1539,5,141500
5,1987,Lvl,980,2,1137,1112,0,1137,6,176000
4,1921,Lvl,616,1,616,616,0,616,5,89000
6,1952,Lvl,210,1,1148,980,0,1148,5,123500
5,1965,Lvl,553,1,894,894,0,894,5,138500
5,2004,Lvl,16,2,1391,1391,0,1391,7,196000
7,2002,Lvl,1274,3,1800,1800,0,1800,8,312500
6,1969,Lvl,0,2,1164,1164,0,1164,7,140000
10,2006,Lvl,0,3,1264,1234,1312,2576,8,361919
8,1900,Lvl,0,2,1032,360,780,1812,5,140000
7,2004,Lvl,712,2,1484,1473,0,1484,7,213000
7,1930,Lvl,0,0,372,0,720,1092,4,55000
5,1971,Low,1219,2,1824,1643,0,1824,7,302000
6,2006,Lvl,863,2,1324,1324,0,1324,8,254000
8,2007,Lvl,0,2,728,728,728,1456,7,179540
6,1966,Lvl,0,1,904,876,0,904,5,109900
5,1935,Lvl,0,0,729,270,0,729,3,52000
7,1900,HLS,0,1,859,859,319,1178,4,102776
5,1988,HLS,767,2,1228,1228,0,1228,8,189000
6,1970,Lvl,789,2,960,960,0,960,4,129000
6,1976,Lvl,533,2,725,725,754,1479,6,130500
7,1974,Lvl,0,2,1350,1064,0,1350,6,165000
8,1890,Bnk,0,2,1576,718,978,2554,7,159500
5,1973,Lvl,1084,2,1178,1176,0,1178,5,157000
9,1993,Lvl,1173,3,1325,1311,1093,2418,7,341000
5,1969,Lvl,523,1,971,971,0,971,5,128500
5,1985,Low,1148,2,1742,1742,0,1742,8,275000
3,2004,Lvl,662,2,848,848,0,848,6,143000
5,1970,Lvl,191,2,864,864,0,864,4,124500
7,1954,Lvl,0,1,997,941,473,1470,4,135000
8,2007,Lvl,1234,3,1698,1698,0,1698,9,320000
5,1970,Lvl,375,2,864,864,0,864,4,120500
5,1988,Lvl,808,2,1680,880,0,1680,6,222000
6,2007,Lvl,724,2,1232,1232,0,1232,7,194500
9,1958,Lvl,0,3,1776,1584,0,1776,5,110000
5,1925,Lvl,152,2,848,780,0,1208,4,103000
5,1995,Lvl,1180,2,1616,1595,0,1616,8,236500
6,2003,Lvl,786,2,1146,868,0,1146,7,187500
8,1998,Lvl,252,2,1153,1153,878,2031,7,222500
6,1961,Lvl,594,1,1144,864,0,1144,5,131400
6,1968,Lvl,0,1,948,948,0,948,5,108000
6,1914,Lvl,390,2,880,880,888,1768,7,163000
6,1950,Lvl,0,2,1040,0,0,1040,3,93500
8,2005,HLS,0,3,901,893,900,1801,8,239900
5,1987,Lvl,1200,0,1200,1200,0,1200,5,179000
7,2004,Lvl,0,2,864,864,864,1728,7,190000
7,1910,Lvl,0,2,768,264,664,1432,5,132000
5,1961,Lvl,832,1,912,912,0,912,6,142000
6,2000,Lvl,0,2,1349,1349,0,1349,7,179000
6,1963,Lvl,444,2,1464,520,0,1464,5,175000
5,1993,HLS,733,2,1337,1337,0,1337,8,180000
11,1976,Lvl,575,2,1175,1142,1540,2715,8,299800
8,2000,Lvl,300,2,980,952,1276,2256,7,236000
8,1880,Lvl,0,4,1320,1240,1320,2640,7,265979
7,1996,Lvl,919,2,1720,1720,0,1720,7,260400
9,1945,Lvl,0,1,1088,0,441,1529,4,98000
7,1910,Lvl,0,0,792,576,348,1140,4,96500
6,2003,Lvl,0,2,660,660,660,1320,7,162000
6,1997,Lvl,1200,2,1494,1479,0,1494,6,217000
8,2005,Lvl,0,3,1038,1030,1060,2098,8,275500
5,1969,Lvl,439,2,1026,1026,0,1026,6,156000
6,1999,Lvl,381,2,742,729,729,1471,6,172500
7,2007,Lvl,20,2,866,866,902,1768,8,212000
6,1978,Lvl,438,2,672,672,714,1386,6,158900
6,1999,Lvl,549,2,757,744,744,1501,7,179400
9,1995,Lvl,56,3,1328,1318,1203,2531,8,290000
5,1959,Lvl,612,1,864,864,0,864,6,127500
5,1924,Lvl,405,2,1301,1145,0,1301,5,100000
7,2009,Lvl,24,2,764,756,783,1547,7,215200
8,1999,Lvl,1163,3,1268,1252,1097,2365,8,337000
6,1995,Lvl,437,2,1494,1494,0,1494,8,270000
6,2008,Lvl,0,2,1506,1498,0,1506,9,264132
7,1988,Lvl,394,2,980,980,734,1714,7,196500
7,1940,Lvl,660,1,983,983,767,1750,6,160000
8,2004,Lvl,24,2,1836,1860,0,1836,7,216837
12,2003,HLS,1416,3,1690,1650,1589,3279,8,538000
5,1982,Lvl,685,2,858,858,0,858,5,134900
6,1951,Lvl,836,2,1220,836,0,1220,4,102000
6,1976,Lvl,422,2,1117,1029,0,1117,6,107000
5,1958,Lvl,456,1,912,912,0,912,5,114500
9,2006,Lvl,0,3,1973,1935,0,1973,8,395000
5,1998,Lvl,866,2,1204,1204,0,1204,6,162000
7,2005,Lvl,20,3,1614,1614,0,1614,7,221500
5,1974,Lvl,762,2,894,864,0,894,5,142500
10,1977,Lvl,0,2,2020,0,0,2020,5,144000
4,1977,Lvl,975,2,1004,975,0,1004,6,135000
6,1995,Lvl,0,2,1253,1237,0,1253,7,176000
7,1992,Lvl,387,2,810,761,793,1603,6,175900
6,2001,Lvl,0,2,1430,1413,0,1430,7,187100
4,1978,Lvl,1097,2,1110,1097,0,1110,5,165500
9,1914,Lvl,0,0,742,742,742,1484,6,128000
7,1967,Lvl,251,2,1342,1372,0,1342,6,161500
7,1915,Lvl,686,1,966,686,686,1652,5,139000
8,2004,Lvl,656,2,956,956,1128,2084,7,233000
4,1954,Lvl,0,1,901,901,0,901,4,107900
9,1966,Low,568,2,976,832,1111,2087,6,187500
5,2005,Lvl,16,2,1145,1145,0,1145,7,160200
5,1976,Lvl,539,2,1062,1029,0,1062,6,146800
8,1996,Lvl,862,2,1127,1117,886,2013,7,269790
7,2007,Lvl,0,2,1496,1496,0,1496,8,225000
7,1994,Lvl,0,2,1086,712,809,1895,7,194500
7,1980,Lvl,0,2,888,650,676,1564,6,171000
7,1977,Lvl,0,2,1285,660,0,1285,6,143500
4,1953,Lvl,570,1,773,773,0,773,5,110000
11,2008,Lvl,0,3,1966,1926,1174,3140,9,485000
7,1937,Lvl,569,1,981,731,787,1768,5,175000
8,1997,HLS,462,2,616,616,1072,1688,6,200000
5,1916,Lvl,197,2,1196,1196,0,1196,4,109900
7,2005,Lvl,648,2,728,728,728,1456,7,189000
12,2008,Lvl,0,3,1734,1734,1088,2822,9,582933
5,1954,Lvl,812,1,1128,936,0,1128,5,118000
6,2008,Lvl,0,2,1428,1417,0,1428,7,227680
6,1967,Lvl,400,1,980,980,0,980,5,135500
6,1923,Lvl,1309,2,1072,1324,504,1576,5,223500
6,1966,Lvl,516,2,1086,1024,0,1086,5,159950
11,1898,Lvl,0,2,1075,849,1063,2138,5,106000
5,1974,Lvl,663,2,1309,1040,0,1309,6,181000
4,2004,Lvl,662,2,848,848,0,848,6,144500
4,1952,Bnk,0,2,1044,540,0,1044,5,55993
7,1958,Lvl,608,1,1442,1442,0,1442,6,157900
7,1918,Lvl,0,1,686,686,564,1250,5,116000
6,1998,Lvl,0,2,1661,1649,0,1661,7,224900
4,1954,Lvl,486,1,1008,1008,0,1008,5,137000
7,2002,Lvl,1218,3,1689,1568,0,1689,8,271000
6,1971,Lvl,504,2,1052,1010,0,1052,6,155000
6,2009,Lvl,733,2,1358,1358,0,1358,7,224000
6,2003,Lvl,0,2,798,798,842,1640,7,183000
4,1953,Bnk,0,2,936,936,0,936,4,93000
7,2003,Lvl,0,2,847,847,886,1733,7,225000
7,1940,Lvl,0,1,944,778,545,1489,6,139500
7,2006,Lvl,0,2,1489,1489,0,1489,8,232600
7,2007,Lvl,1636,3,2084,2078,0,2084,10,385000
5,1924,Lvl,784,0,784,784,0,784,5,109500
6,2001,Lvl,20,2,1434,1454,0,1434,7,189000
7,1967,Low,249,2,1160,1013,966,2126,5,185000
4,2005,Lvl,0,2,520,600,623,1223,7,147400
6,1957,Lvl,1040,2,1392,1392,0,1392,6,166000
4,2005,Lvl,0,2,520,600,600,1200,7,151000
7,2003,Lvl,483,2,941,941,888,1829,7,237000
6,1964,Lvl,196,2,1516,1516,0,1516,6,167000
6,1961,Lvl,572,2,1144,1144,0,1144,5,139950
4,1950,Lvl,442,2,1067,1067,0,1067,4,128000
5,1948,Lvl,338,2,1559,1559,0,1559,5,153500
5,1973,Lvl,330,1,483,483,504,987,6,100000
6,1995,Lvl,0,1,1099,1099,0,1099,5,144000
6,1946,Lvl,352,1,768,768,432,1200,5,130500
7,1925,Lvl,156,1,810,672,672,1482,6,140000
8,1904,Lvl,0,2,958,650,581,1539,5,157500
6,1966,Lvl,312,2,1165,1127,0,1165,6,174900
10,1961,Lvl,0,0,1800,1800,0,1800,5,141000
7,1915,Lvl,0,3,876,876,540,1416,5,153900
6,1975,Lvl,1390,2,1701,1390,0,1701,5,171000
7,1993,Lvl,513,2,1006,740,769,1775,7,213000
5,1972,Lvl,460,1,864,864,0,864,5,133500
10,1908,Bnk,0,2,1307,907,1051,2358,6,240000
7,1976,Lvl,0,2,1094,528,761,1855,6,187000
3,2003,Lvl,659,2,848,848,0,848,6,131500
7,2003,Lvl,0,2,1456,1273,0,1456,8,215000
7,1941,Lvl,364,1,918,918,728,1646,7,164000
7,1964,Lvl,564,2,1445,1127,0,1445,6,158000
6,1955,Lvl,306,2,1779,1763,0,1779,5,170000
6,1962,Lvl,659,1,1040,1040,0,1040,5,127000
5,1978,Low,505,2,1026,940,0,1026,6,147000
6,1994,Lvl,0,2,702,702,779,1481,6,174000
6,1976,Lvl,0,2,1370,1090,0,1370,7,152000
9,1968,Lvl,619,2,1512,1054,1142,2654,6,250000
7,1918,Lvl,0,1,912,912,514,1426,7,189950
6,1965,Lvl,841,2,1039,1039,0,1039,5,131500
6,1984,Lvl,338,2,1097,1040,0,1097,6,152000
6,1959,Lvl,1148,1,1148,1148,0,1148,5,132500
6,2007,Lvl,0,2,1372,1372,0,1372,7,250580
5,1970,Lvl,828,2,1002,1002,0,1002,5,148500
6,2006,HLS,0,3,1646,1638,0,1646,8,248900
5,1961,Lvl,932,2,1120,1040,0,1120,4,129000
7,1948,Lvl,0,2,1547,0,720,2320,5,169000
8,1993,Lvl,750,2,1062,1050,887,1949,7,236000
5,1962,Lvl,0,1,894,894,0,894,5,109500
7,1998,Lvl,505,2,804,804,878,1682,6,200500
5,1953,Lvl,0,2,910,105,0,910,5,116000
6,1949,Lvl,375,1,1036,832,0,1268,5,133000
5,1941,Lvl,0,1,676,676,455,1131,5,66500
11,2007,Lvl,64,2,1184,1184,1426,2610,8,303477
5,1963,HLS,633,2,1040,1064,0,1040,4,132250
10,2004,Lvl,1170,3,1462,1462,762,2224,9,350000
6,1961,Lvl,899,2,1155,1109,0,1155,5,148000
6,1978,Lvl,646,1,864,864,0,864,5,136500
5,2005,Lvl,980,2,1090,1090,0,1090,5,157000
7,1990,Lvl,902,2,1187,1156,530,1717,7,187500
7,1992,Lvl,0,2,808,808,785,1593,6,178000
10,1912,Bnk,0,1,954,795,795,2230,4,118500
5,1967,Lvl,432,1,892,892,0,892,5,100000
5,1999,Lvl,1238,2,1709,1698,0,1709,9,328900
8,1959,Lvl,528,2,1712,1626,0,1712,5,145000
8,1955,Lvl,0,1,872,816,521,1393,5,135500
8,1970,Lvl,351,2,2217,2217,0,2217,8,268000
6,1953,Lvl,1024,2,1505,1505,0,1505,6,149500
6,1949,Lvl,0,2,672,672,252,924,5,122900
7,1978,Lvl,226,2,918,918,765,1683,6,172500
6,1963,Lvl,663,1,1068,1059,0,1068,6,154500
6,1954,Lvl,1064,1,1383,1383,0,1383,5,165000
8,1979,Bnk,0,2,1535,0,0,1535,5,118858
8,1963,Lvl,400,2,983,780,813,1796,6,140000
6,1936,Lvl,285,1,951,951,0,951,4,106500
12,1979,Lvl,0,2,1120,0,1120,2240,5,142953
11,2009,Lvl,2188,3,2364,2330,0,2364,9,611657
6,1961,Lvl,465,1,1236,912,0,1236,5,135000
4,1971,Lvl,322,1,858,858,0,858,4,110000
5,1957,Lvl,860,1,1306,992,0,1306,5,153000
8,2003,Lvl,0,2,807,783,702,1509,7,180000
7,2006,HLS,0,3,1670,1670,0,1670,7,240000
6,1967,Lvl,599,1,902,876,0,902,5,125500
6,1954,Lvl,354,1,1063,1056,0,1063,5,128000
8,2006,Lvl,63,3,1636,1623,0,1636,8,255000
6,1936,Lvl,223,1,1020,1017,1037,2057,7,250000
5,1983,Low,301,2,902,864,0,902,5,131000
8,2005,Lvl,0,2,742,742,742,1484,6,174000
12,1960,Lvl,443,2,1105,1105,1169,2274,5,154300
5,1977,Lvl,196,1,1268,1268,0,1268,5,143500
6,1925,Lvl,489,1,1015,768,0,1015,5,88000
8,1949,HLS,284,3,1001,1001,1001,2002,5,145000
4,2009,Lvl,294,2,612,612,612,1224,6,173733
6,1970,Lvl,0,1,546,546,546,1092,4,75000
4,1949,Lvl,50,1,480,480,0,480,2,35311
6,1956,Lvl,1059,1,1229,1134,0,1229,4,135000
8,1991,Lvl,48,3,912,1104,1215,2127,7,238000
6,1958,Lvl,528,2,1414,1184,0,1414,6,176500
7,1994,Lvl,814,2,936,928,785,1721,6,201000
9,1900,Lvl,1084,0,1272,1272,928,2200,5,145900
6,2005,Lvl,28,2,1316,1316,0,1316,6,169990
5,1993,Lvl,165,2,1617,1604,0,1617,6,193000
7,1980,Lvl,625,2,1686,1686,0,1686,6,207500
6,1977,Lvl,767,2,1126,1126,0,1126,5,175000
10,2003,Lvl,0,3,1234,1181,1140,2374,8,285000
9,1968,Lvl,552,2,1098,832,880,1978,7,176000
7,2001,Lvl,0,2,1788,1753,0,1788,8,236500
8,1997,Lvl,0,2,993,964,1243,2236,7,222000
7,2007,HLS,16,3,1466,1466,0,1466,8,201000
5,1965,Lvl,338,1,925,925,0,925,5,117500
8,2006,Lvl,0,3,1905,1905,0,1905,9,320000
6,2004,Lvl,20,2,1500,1500,0,1500,7,190000
9,1960,HLS,425,2,2069,585,0,2069,7,242000
5,1926,Lvl,0,2,747,600,0,747,4,79900
5,2003,Lvl,833,2,1200,1176,0,1200,7,184900
8,2005,Lvl,341,2,1113,1113,858,1971,7,253000
7,2006,Lvl,464,3,1391,1391,571,1962,7,239799
10,1940,Lvl,0,1,1207,1032,1196,2403,7,244400
8,1976,Lvl,936,2,1728,1728,0,1728,6,150900
8,1999,Lvl,772,2,1022,992,1038,2060,7,214000
8,1977,Lvl,1440,0,1440,1440,0,1440,4,150000
8,1967,Low,0,2,1632,1632,0,1632,5,143000
7,1958,Lvl,111,2,1344,819,0,1344,6,137500
7,1890,Lvl,1088,2,1188,1088,561,1869,5,124900
6,1959,Lvl,748,1,1144,1144,0,1144,5,143000
9,2002,Lvl,1300,3,1629,1616,0,1629,8,270000
7,2002,Lvl,0,2,936,936,840,1776,7,192500
5,1972,Lvl,982,2,1381,1161,0,1381,6,197500
5,1950,Lvl,398,2,864,864,0,864,5,129000
6,1965,Lvl,641,1,965,828,0,965,5,119900
5,1972,Lvl,660,1,768,768,0,768,5,133900
