YearRemodAdd,OverallCond,BsmtQual,LotArea,MSZoning,TotRmsAbvGrd,YearBuilt,LandContour,BsmtFinSF1,GarageCars,1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
2005,5,Gd,7795,RL,6,2004,Lvl,425,2,716,716,716,1432,7,188500
1980,7,Gd,13005,RL,10,1980,Lvl,692,2,1153,845,1200,2353,7,260000
2006,5,Gd,9000,FV,8,2006,Lvl,0,3,1088,1088,871,1959,8,270000
1993,5,Gd,9900,RL,9,1993,Low,987,3,1372,1347,1274,2646,7,260000
1980,5,Gd,14115,RL,6,1980,Lvl,1036,2,1472,1372,0,1472,7,187500
2006,5,Ex,16259,RL,9,2006,Lvl,0,3,1249,1249,1347,2596,9,342643
2004,5,Ex,12099,RL,10,2004,Lvl,970,3,1136,1136,1332,2468,8,354000
1987,5,TA,10380,RL,8,1986,Lvl,28,2,1553,1502,1177,2730,7,301000
2005,8,TA,5820,RM,6,1955,Lvl,256,1,1163,1162,0,1163,3,126175
2007,7,Gd,11275,RL,11,1967,Lvl,0,2,1898,710,1080,2978,7,242000
1950,6,TA,5000,RM,5,1941,Lvl,116,2,803,720,0,803,5,87000
1993,5,Gd,10846,RL,6,1993,Lvl,1619,2,1719,1719,0,1719,8,324000
1960,5,TA,11600,RL,7,1960,Lvl,565,1,1383,1383,0,1383,6,145250
1994,6,TA,11888,RL,10,1916,Bnk,0,2,1445,844,689,2134,6,214500
1950,5,TA,6402,RM,6,1920,Lvl,0,1,596,596,596,1192,5,78000
1964,4,TA,10624,RL,10,1964,Lvl,40,1,1728,1728,0,1728,5,119000
1992,6,TA,8176,RL,6,1958,Lvl,846,1,1056,1056,0,1056,5,139000
2004,5,Gd,10655,RL,7,2003,Lvl,1124,3,1629,3206,0,1629,8,284000
2004,5,Gd,8198,RM,6,2004,Lvl,720,2,1358,1358,0,1358,7,207000
1998,5,Gd,9042,RL,7,1998,Lvl,828,2,943,943,695,1638,6,192000
1965,6,TA,164660,RL,7,1965,HLS,1249,2,1619,1499,167,1786,5,228950
2006,5,Ex,14157,RL,8,2005,HLS,1249,3,1922,1922,0,1922,9,377426
2003,5,Gd,9135,RL,7,2002,Lvl,810,2,1536,1536,0,1536,7,214000
1998,7,Gd,14145,RL,8,1984,Lvl,213,2,1621,1208,0,1621,7,202500
1998,7,TA,12400,RL,6,1958,Lvl,585,1,1215,1215,0,1215,6,155000
2002,5,Gd,14191,RL,9,2002,Lvl,0,2,993,967,915,1908,8,202900
1950,4,TA,8400,RH,4,1950,Lvl,0,1,841,721,0,841,4,82000
1950,4,,8544,RL,6,1949,Lvl,0,2,1040,0,0,1040,3,87500
2005,5,Ex,8849,RL,6,2005,Lvl,28,2,1684,1684,0,1684,9,266000
1976,3,Gd,2592,RM,4,1976,Lvl,129,1,536,536,576,1112,5,85000
1950,5,TA,6435,RL,6,1939,Lvl,0,1,972,972,605,1577,6,140200
1998,8,TA,12772,RL,5,1960,Lvl,498,1,958,958,0,958,6,151500
1960,5,TA,17600,RL,6,1960,Lvl,1270,2,1478,1478,0,1478,6,157500
2004,5,Gd,2448,RL,6,2003,Lvl,573,2,764,764,862,1626,7,154000
2006,5,Ex,20431,RL,10,2005,Lvl,1410,3,1848,1848,880,2728,9,437154
2007,5,Ex,7820,RL,6,2007,Lvl,0,2,1869,1869,0,1869,9,318061
1986,5,Gd,5271,RL,6,1986,Low,1082,2,1453,1453,0,1453,7,190000
1950,6,TA,9084,RL,5,1941,Lvl,236,1,616,616,495,1111,5,95000
2003,8,TA,8520,RM,5,1928,Lvl,0,2,720,624,0,720,6,105900
2000,5,TA,8400,RL,6,1940,Bnk,388,1,1192,940,403,1595,6,140000
1995,5,Gd,11249,RL,6,1995,Lvl,334,2,1200,1200,0,1200,6,177500
1992,6,Gd,9248,RL,6,1992,Lvl,560,2,1167,1158,0,1167,6,173000
1976,5,Gd,4224,RM,6,1976,Lvl,874,2,1142,1142,0,1142,5,134000
1958,4,TA,6930,RL,6,1958,Lvl,300,1,1352,1062,0,1352,5,130000
1998,5,Gd,12011,RL,7,1998,Lvl,956,2,1086,1086,838,1924,8,280000
1978,6,Gd,7540,RL,5,1978,Lvl,773,2,912,888,0,912,6,156000
1982,5,TA,9144,RL,8,1940,Lvl,399,1,988,883,517,1505,5,145000
2003,5,,7301,RL,7,2003,Lvl,0,2,495,0,1427,1922,7,198500
2007,8,TA,1680,RM,5,1972,Lvl,162,1,483,483,504,987,6,118000
1976,5,Gd,18800,RL,6,1976,Lvl,712,2,790,796,784,1574,6,190000
1997,7,TA,10690,RM,6,1920,Lvl,456,1,672,672,672,1344,5,147000
1963,5,Gd,9500,RL,6,1963,Lvl,609,2,1394,1394,0,1394,6,159000
1962,5,Gd,9150,RL,6,1962,Lvl,371,1,1431,1099,0,1431,6,165000
1954,6,TA,7800,RL,7,1954,Lvl,540,1,1268,1268,0,1268,5,132000
2006,7,TA,9830,RL,7,1959,Lvl,72,2,1287,1063,0,1287,5,162000
2000,5,Gd,8121,RL,7,2000,Lvl,0,2,953,953,711,1664,6,172400
1959,4,,17120,RL,7,1959,Lvl,0,2,1120,0,468,1588,4,134432
1984,5,Gd,7175,RL,4,1984,Lvl,623,1,752,744,0,752,6,125000
1953,6,TA,10634,RL,5,1953,Lvl,428,1,1319,608,0,1319,5,123000
2004,5,Gd,8200,RL,8,2003,Lvl,0,2,847,847,1081,1928,7,219500
1950,1,Fa,10020,RL,4,1922,Low,350,0,904,683,0,904,1,61000
1996,5,Gd,8846,RL,5,1996,Lvl,298,2,914,870,0,914,5,148000
2005,5,Gd,11143,FV,8,2004,Lvl,0,2,1580,1580,886,2466,8,340000
2010,2,Ex,11394,RL,8,2010,Lvl,1445,3,1856,1856,0,1856,9,394432
2000,5,Gd,8123,RL,7,2000,Lvl,0,2,1007,982,793,1800,6,179000
1950,6,TA,5000,RL,6,1924,Lvl,218,1,1026,1026,665,1691,5,127000
2006,5,Gd,7200,FV,5,2006,Lvl,0,2,1301,1293,0,1301,7,187750
2006,5,Gd,9245,RL,8,2006,Lvl,0,2,939,939,858,1797,7,213500
1950,3,Fa,9000,RH,5,1928,Lvl,0,2,784,784,0,784,6,76000
1992,5,Gd,53107,RL,9,1992,Low,985,2,1079,1580,874,1953,6,240000
2005,5,Gd,3182,RL,6,2004,Lvl,24,2,1269,1256,0,1269,8,192000
1996,3,TA,8410,RL,8,1910,Lvl,0,0,658,658,526,1184,5,81000
1976,6,TA,7200,RL,6,1976,Lvl,631,1,1125,1041,0,1125,6,125000
2000,5,Gd,9382,RL,6,1999,Lvl,0,2,1479,1468,0,1479,7,191000
2008,5,Ex,12474,RL,9,2007,Lvl,1280,3,1742,1682,590,2332,10,426000
1950,8,TA,8405,RL,7,1900,Lvl,241,1,961,861,406,1367,5,119000
2002,5,Ex,12209,RL,7,2001,Lvl,690,2,804,804,1157,1961,6,215000
1959,7,,8339,RL,5,1959,Lvl,0,1,882,0,0,882,5,106500
1950,5,TA,7446,RL,4,1941,Lvl,266,0,788,788,0,788,4,100000
1950,6,TA,10134,RL,5,1940,Lvl,0,1,735,735,299,1034,5,109000
1956,6,TA,9571,RL,6,1956,Lvl,739,1,1144,1144,0,1144,5,129000
1972,5,TA,7200,RL,6,1972,Low,777,2,894,894,0,894,5,123000
1962,5,TA,7590,RL,8,1962,Lvl,540,1,876,864,936,1812,5,169500
1950,2,Fa,8967,RM,6,1920,Lvl,0,1,1077,961,0,1077,5,67000
2007,5,Gd,8125,FV,7,2006,Lvl,812,2,1112,1092,438,1550,7,241000
1996,5,Gd,14963,RL,4,1996,Lvl,786,2,1288,1260,0,1288,8,245500
2005,5,Gd,8767,RL,6,2005,Lvl,24,2,1310,1310,0,1310,7,164990
1997,8,TA,10200,RL,4,1940,Lvl,0,1,672,672,0,672,5,108000
1998,5,Gd,12090,RL,10,1998,Lvl,0,2,1165,1141,1098,2263,8,258000
1996,5,Gd,10364,RL,7,1995,Lvl,0,2,806,806,766,1572,6,168000
1993,4,TA,9991,RL,8,1976,Lvl,1116,2,1620,1281,0,1620,4,150000
1950,5,TA,10480,RL,6,1936,Lvl,0,1,1166,1064,0,1639,6,115000
1976,7,Gd,15576,RL,8,1915,Lvl,0,1,840,840,840,1680,6,177000
2006,5,Ex,14154,RL,9,2006,Lvl,0,3,1071,1063,1101,2172,7,280000
2008,5,Ex,10800,FV,8,2007,Lvl,789,3,1050,1034,1028,2078,8,339750
1958,3,TA,9571,RL,5,1958,Lvl,0,1,1276,1276,0,1276,5,60000
1955,5,TA,34650,RL,5,1955,Bnk,1056,2,1056,1056,0,1056,5,145000
2009,5,Ex,4403,FV,7,2009,Lvl,578,2,1478,1470,0,1478,7,222000
1950,6,TA,8960,RM,5,1927,Lvl,0,2,1028,1008,0,1028,5,115000
1993,5,Gd,11228,RL,9,1993,Lvl,50,3,1080,1080,1017,2097,7,228000
2007,5,Gd,8899,RL,6,2007,Lvl,24,2,1340,1340,0,1340,7,181134
1978,7,TA,7844,RL,6,1978,Lvl,209,2,672,672,728,1400,6,149500
1950,6,Gd,22420,RL,10,1918,Lvl,1128,3,1370,1370,1254,2624,6,239000
1950,6,TA,8160,RL,7,1940,Lvl,312,1,756,756,378,1134,5,126000
1968,6,TA,8450,RL,6,1968,Lvl,775,1,1056,1056,0,1056,5,142000
1998,5,Gd,7060,RM,8,1997,Lvl,1309,4,1344,1344,0,1344,7,206300
2000,7,Gd,16635,RL,8,1977,Lvl,1246,2,1602,1602,0,1602,6,215000
1954,5,TA,21750,RL,4,1954,HLS,0,2,988,988,0,988,5,113000
1998,5,Gd,9200,RL,8,1998,Lvl,986,3,1470,1470,1160,2630,8,315000
1956,5,Gd,9000,RL,6,1956,Lvl,616,1,1196,1196,0,1196,6,139000
1992,8,TA,3378,RM,6,1946,HLS,0,1,707,651,682,1389,7,135000
1989,5,Gd,12800,RL,5,1989,Low,1518,2,1644,1518,0,1644,7,275000
1957,6,TA,8593,RL,5,1957,Lvl,288,1,907,907,0,907,4,109008
2007,5,Gd,6762,RL,6,2007,Lvl,664,2,1208,1208,0,1208,7,195400
1988,5,Gd,11457,RL,6,1988,Lvl,1005,2,1412,1392,0,1412,6,175000
1971,5,TA,1680,RM,4,1971,Lvl,387,1,483,483,504,987,6,85400
1998,7,TA,5586,RM,7,1920,Bnk,0,0,1088,901,110,1198,6,79900
1971,5,TA,1920,RM,6,1971,Lvl,471,2,765,765,600,1365,5,122500
1998,5,Gd,10839,RL,7,1997,Lvl,0,2,926,926,678,1604,6,181000
1972,7,Gd,1890,RM,3,1972,Lvl,495,0,630,630,0,630,4,81000
1996,6,Gd,10667,RL,6,1996,Lvl,385,2,827,799,834,1661,7,212000
1950,8,Fa,4400,RM,6,1920,Lvl,0,2,734,648,384,1118,6,116000
2004,7,TA,6000,RM,4,1926,Lvl,0,1,904,884,0,904,6,119000
2002,6,TA,4280,RL,4,1913,Lvl,365,1,694,440,0,694,5,90350
2000,8,TA,12354,RL,7,1920,Lvl,0,2,684,684,512,1196,6,110000
2008,5,Ex,15431,RL,10,2008,Lvl,1767,3,2402,3094,0,2402,10,555000
1955,4,TA,12108,RL,8,1955,Lvl,133,0,1440,1440,0,1440,4,118000
1992,7,TA,6240,RM,8,1930,Lvl,0,2,1128,1078,445,1573,5,162900
2007,5,Ex,3922,RL,6,2006,Lvl,0,3,1258,1258,0,1258,7,172500
1995,5,Gd,8750,RL,8,1994,Lvl,642,2,933,915,975,1908,7,210000
1956,5,TA,9855,RL,7,1956,Lvl,0,2,1689,1436,0,1689,6,127500
2002,6,TA,16492,RL,6,1966,Lvl,247,2,1888,1517,0,1888,6,190000
1999,5,Gd,11214,RL,10,1998,Lvl,0,2,956,930,930,1886,7,199900
1950,6,TA,8600,RM,7,1937,Bnk,0,1,780,780,596,1376,6,119500
2002,7,TA,6000,RM,6,1948,Lvl,331,1,679,649,504,1183,3,120000
2005,8,TA,5684,RM,5,1930,Lvl,0,1,813,813,0,813,6,110000
1975,5,Gd,70761,RL,5,1975,Low,655,2,1533,1533,0,1533,7,280000
1997,5,Ex,9303,RL,7,1996,Lvl,742,2,888,872,868,1756,6,204000
2008,5,Gd,9000,FV,6,2008,Lvl,0,2,786,768,804,1590,8,210000
1976,5,TA,9297,RL,8,1976,Lvl,1606,2,1728,1728,0,1728,5,188000
1973,6,TA,9600,RL,6,1973,Lvl,916,2,1242,1242,0,1242,7,175500
1950,5,TA,4571,RM,7,1916,Lvl,0,3,624,624,720,1344,5,98000
1994,6,Gd,53227,RL,6,1954,Low,1116,2,1663,1364,0,1663,4,256000
1996,7,TA,5100,RM,7,1925,Lvl,0,1,833,588,833,1666,8,161000
1950,4,TA,7015,RL,5,1950,Bnk,185,1,979,709,224,1203,5,110000
2009,5,Gd,8004,FV,8,2009,Lvl,544,2,832,832,1103,1935,8,263435
2007,9,Gd,7200,RL,6,1936,Lvl,350,2,575,560,560,1135,7,155000
1965,5,TA,8281,RL,5,1965,Lvl,553,1,864,864,0,864,5,62383
1995,7,TA,11988,RL,6,1934,HLS,326,1,849,715,811,1660,6,188700
1978,5,Gd,8430,RL,5,1978,HLS,616,0,1040,1040,0,1040,5,124000
2004,5,Gd,3072,RM,6,2004,Lvl,0,2,1414,1375,0,1414,7,178740
1970,5,TA,10628,RL,5,1970,Lvl,778,2,1277,1277,0,1277,7,167000
1995,7,TA,9480,RL,7,1942,Lvl,386,1,888,728,756,1644,5,146500
2006,5,Gd,11428,RL,7,2006,Lvl,0,3,1634,1626,0,1634,8,250000
1993,5,Gd,9291,RL,7,1993,Lvl,426,2,832,832,878,1710,6,187000
1985,5,Gd,6820,RL,4,1985,Lvl,368,2,1502,1488,0,1502,8,212000
1977,6,Gd,11952,RL,8,1977,Lvl,0,2,1161,808,808,1969,7,190000
2005,5,Gd,3675,RM,5,2005,Lvl,459,2,1072,547,0,1072,6,148000
2007,5,Ex,14977,RL,7,2006,Lvl,1350,3,1976,1976,0,1976,8,440000
2000,5,Gd,5330,RL,6,2000,Lvl,1196,2,1652,1494,0,1652,8,251000
1963,6,TA,8480,RL,5,1963,Lvl,630,2,970,970,0,970,5,132500
1998,5,Gd,13125,RL,7,1997,Lvl,994,2,1493,1478,0,1493,6,208900
2006,5,Gd,13693,RL,9,2006,Lvl,0,3,2069,2153,574,2643,9,380000
2008,5,Ex,10637,RL,7,2007,Lvl,1288,3,1718,1705,0,1718,8,297000
2000,7,Fa,5925,RM,7,1937,Bnk,168,2,1131,907,0,1131,4,89471
2005,5,Ex,16033,RL,8,2004,Lvl,1261,3,1850,1833,0,1850,9,326000
2004,5,Ex,11846,RL,6,2003,HLS,1567,3,1792,1792,0,1792,9,374000
2005,8,TA,2500,RM,7,1915,Lvl,299,1,916,910,910,1826,7,155000
1998,5,Ex,4500,RM,5,1998,Lvl,897,2,1216,1216,0,1216,6,164000
2001,7,TA,7758,RL,6,1962,Lvl,588,1,999,999,0,999,5,132500
2007,7,TA,9600,RL,5,1950,Lvl,607,1,1113,1113,0,1113,5,147000
1965,7,TA,10289,RL,6,1965,Lvl,836,2,1073,1073,0,1073,5,156000
1971,6,Gd,12243,RL,7,1971,Lvl,998,2,1484,1484,0,1484,5,175000
1970,4,TA,10800,RL,10,1900,Lvl,664,2,1766,954,648,2414,5,160000
2002,8,Gd,1526,RM,3,1970,Lvl,515,1,630,630,0,630,4,86000
1976,6,Gd,2665,RM,4,1976,Lvl,0,1,616,264,688,1304,5,115000
1950,7,TA,9490,RL,5,1941,Lvl,403,1,958,806,620,1578,6,133000
2006,5,Gd,15578,RL,8,2006,Lvl,0,2,728,728,728,1456,6,172785
1960,6,TA,7931,RL,6,1960,Lvl,374,1,1269,1269,0,1269,5,155000
1996,8,Fa,5784,RM,4,1938,Lvl,0,1,886,190,0,886,5,91300
1950,5,TA,7879,C (all),4,1920,Lvl,495,0,720,720,0,720,4,34900
1993,5,Gd,12692,RL,10,1992,Lvl,1231,2,3228,3200,0,3228,8,430000
1950,6,TA,9120,RL,8,1925,Lvl,329,1,1133,1026,687,1820,7,184000
2004,7,TA,7800,RL,5,1967,Lvl,450,1,899,864,0,899,5,130000
1985,7,TA,7535,RL,5,1958,Lvl,111,1,912,912,0,912,5,120000
1973,5,TA,1890,RM,7,1973,Lvl,356,1,672,672,546,1218,6,113000
2005,5,Gd,9803,FV,7,2005,Lvl,400,2,866,866,902,1768,7,226700
1965,7,TA,9170,RL,6,1965,Lvl,698,2,1214,1214,0,1214,5,140000
1997,8,TA,15602,RL,6,1959,Lvl,1247,2,1801,1501,0,1801,7,289000
1974,5,TA,2308,RL,6,1974,Lvl,257,2,855,855,467,1322,6,147000
1952,5,TA,7596,RM,10,1952,Lvl,0,2,960,960,1000,1960,5,124500
1994,5,Gd,9554,RL,8,1993,Lvl,380,2,1065,777,846,1911,8,215000
2009,5,Gd,7862,FV,4,2009,Lvl,27,2,1218,1218,0,1218,6,208300
2005,9,TA,9600,RM,7,1928,Lvl,141,2,689,689,689,1378,7,161000
1959,6,TA,9600,RL,6,1959,Lvl,991,1,1041,1041,0,1041,5,124500
2000,7,TA,14559,RL,6,1951,Lvl,650,1,1363,1008,0,1363,5,164900
2006,5,Gd,6792,RL,6,2005,Lvl,0,2,1368,1368,0,1368,7,202665
1958,5,TA,9100,RL,5,1958,Lvl,521,2,864,864,0,864,5,129900
1983,5,TA,9187,RL,5,1983,Bnk,336,2,1080,1084,0,1080,6,134000
1950,5,TA,10594,RL,5,1926,Lvl,0,1,789,768,0,789,5,96500
2009,5,Ex,12220,RL,9,2009,Lvl,1436,3,2020,2006,0,2020,10,402861
1972,6,TA,10448,RL,7,1972,Lvl,0,2,1378,689,741,2119,6,158000
1997,5,Gd,10208,RL,7,1996,Lvl,0,3,1277,1264,1067,2344,7,265000
1998,5,Gd,9531,RL,7,1998,Lvl,706,2,882,794,914,1796,6,211000
2004,9,Gd,10918,RL,9,1926,Lvl,0,1,1276,1276,804,2080,7,234000
2000,7,,10800,RL,7,1900,Lvl,0,0,694,0,600,1294,4,106250
1957,6,TA,11988,RL,6,1957,Lvl,777,1,1244,1244,0,1244,6,150000
1950,7,TA,5000,RM,7,1947,Lvl,399,2,1004,1004,660,1664,6,159000
2008,5,Ex,40094,RL,11,2007,Bnk,2260,3,3138,3138,1538,4676,10,184750
1997,5,Gd,11787,RL,8,1996,Lvl,719,3,1383,1379,1015,2398,7,315750
2005,5,Gd,7500,FV,6,2005,Lvl,0,2,1266,1257,0,1266,7,176000
2000,7,Gd,13300,RL,4,1956,Lvl,377,1,928,928,0,928,5,132000
2008,5,Ex,14948,RL,11,2008,Lvl,1330,3,1476,1452,1237,2713,9,446261
2002,7,TA,9098,RL,5,1920,Lvl,348,0,605,528,0,605,4,86000
1975,3,TA,32668,RL,9,1957,Lvl,1219,2,2515,2035,0,2515,6,200624
1989,5,Gd,10200,RL,5,1988,Lvl,783,2,1509,1461,0,1509,6,175000
1999,8,Fa,6155,RM,6,1920,Lvl,0,2,751,611,611,1362,6,128000
2007,7,,7200,RL,5,1955,Lvl,0,1,827,0,0,827,5,107500
1950,3,,5000,RL,2,1946,Low,0,0,334,0,0,334,1,39300
2004,5,Ex,9056,RL,6,2004,Lvl,0,2,707,707,707,1414,8,178000
1991,7,Gd,7000,RL,5,1910,Lvl,969,0,820,1117,527,1347,5,107500
1999,5,Gd,8924,RL,8,1998,Lvl,0,2,880,880,844,1724,7,188000
1972,5,TA,12735,RL,5,1972,Lvl,600,2,864,864,0,864,4,111250
1968,5,TA,11553,RL,7,1968,Lvl,673,1,1159,1051,0,1159,5,158000
2002,5,Gd,11423,RL,6,2001,Lvl,1358,2,1601,1581,0,1601,8,272000
2006,5,Ex,14601,RL,8,2006,Lvl,1260,3,1838,1838,0,1838,9,315000
2000,5,Gd,11000,RL,8,2000,Lvl,0,3,997,969,1288,2285,8,248000
1999,5,Ex,10140,RL,7,1998,Lvl,144,2,1680,1650,0,1680,7,213250
1998,5,Gd,4058,RH,4,1998,Lvl,584,1,767,723,0,767,7,133000
2006,5,Gd,17104,RL,7,2006,Lvl,554,2,664,654,832,1496,7,179665
1988,5,Gd,13837,RL,9,1988,Lvl,1002,3,1377,1204,806,2183,7,229000
1950,7,Gd,8737,RL,6,1923,Bnk,300,2,915,1065,720,1635,6,210000
1970,7,Gd,7244,RL,5,1970,Lvl,619,2,768,768,0,768,5,129500
1995,7,TA,8235,RM,4,1955,HLS,180,2,825,825,0,825,5,125000
2004,5,Gd,9375,FV,8,2003,Lvl,0,2,912,912,1182,2094,7,263000
1977,6,Gd,4043,RL,4,1977,Lvl,559,2,1069,1069,0,1069,6,140000
1957,6,TA,6000,RM,5,1957,Lvl,308,1,928,928,0,928,5,112500
2006,5,Ex,11146,RL,7,2006,Lvl,0,3,1717,1709,0,1717,8,255500
2003,5,,8777,RL,5,1949,Lvl,0,2,1126,0,0,1126,4,108000
2004,5,Gd,10625,RL,8,2003,Lvl,866,3,1006,998,1040,2046,7,284000
1950,6,TA,6380,RM,5,1922,Lvl,0,1,1048,993,0,1048,5,113000
1957,5,TA,14850,RL,6,1957,Lvl,895,1,1092,1092,0,1092,5,141000
1950,6,TA,11040,C (all),7,1920,Low,637,1,897,637,439,1336,4,108000
1997,5,Gd,21872,RL,6,1996,HLS,604,2,729,729,717,1446,7,175000
2004,5,Gd,3196,RL,7,2003,Lvl,0,2,1557,1374,0,1557,7,234000
1996,6,Gd,11341,RL,5,1957,Lvl,1302,2,1392,1392,0,1392,5,121500
1975,5,Gd,10010,RL,6,1974,Lvl,1071,2,1389,1389,0,1389,5,170000
1969,6,TA,13907,RL,6,1940,Lvl,290,0,996,996,0,996,5,108000
1950,7,Gd,21780,RL,8,1918,Lvl,0,2,1163,1163,511,1674,6,185000
2000,5,Gd,13346,RL,9,1992,Lvl,728,2,1166,1095,1129,2295,7,268000
1950,4,Gd,6858,RL,6,1915,Bnk,0,1,841,806,806,1647,6,128000
2007,5,Gd,11198,RL,11,2005,Lvl,0,3,1134,1122,1370,2504,9,325000
2004,5,Gd,10171,RL,7,2004,Lvl,2,2,1535,1517,0,1535,7,214000
2009,8,Gd,12327,RL,5,1983,Low,1441,2,1496,1496,636,2132,8,316600
1979,5,Gd,7032,RL,4,1979,Lvl,943,2,943,943,0,943,5,135960
1965,5,TA,13101,RL,10,1965,Lvl,231,2,1728,1728,0,1728,5,142600
1959,6,TA,7332,RL,4,1959,Lvl,414,1,864,864,0,864,6,120000
2009,5,Ex,13159,RL,6,2009,HLS,0,2,846,846,846,1692,7,224500
2000,5,Gd,9967,RL,8,2000,Lvl,0,2,774,384,656,1430,7,170000
2005,7,TA,10500,RL,5,1971,Lvl,349,1,576,372,533,1109,5,139000
1950,5,TA,8480,RL,6,1947,Lvl,442,1,832,832,384,1216,5,118500
1950,7,TA,6292,RL,6,1928,Lvl,0,1,877,861,600,1477,7,145000
1966,6,TA,11777,RL,6,1966,Lvl,328,2,1320,1164,0,1320,5,164500
2007,5,Gd,3604,FV,5,2007,Lvl,0,2,703,689,689,1392,7,146000
1954,5,TA,12150,RM,7,1954,Lvl,0,1,1050,1050,745,1795,5,131500
1987,6,TA,14585,RL,7,1960,Lvl,594,2,1429,1144,0,1429,6,181900
2009,5,Ex,12704,RL,8,2008,Lvl,0,3,2042,2042,0,2042,8,253293
1990,5,Gd,11841,RL,5,1990,Lvl,816,0,816,816,0,816,6,118500
2000,9,TA,13500,RM,9,1893,Lvl,0,2,1521,1237,1254,2775,10,325000
1995,7,TA,6120,RM,6,1935,Lvl,0,1,989,884,584,1573,4,133000
2006,5,Ex,11443,RL,7,2005,Lvl,1460,3,2028,1868,0,2028,8,369900
2000,7,TA,10267,RL,5,1918,Lvl,210,1,838,816,0,838,6,130000
1982,6,TA,8740,RL,4,1982,Lvl,672,2,860,840,0,860,5,137000
2003,8,TA,25095,RL,5,1968,Low,1324,1,1473,1437,0,1473,5,143000
1960,6,TA,9100,RM,4,1930,Lvl,0,1,779,742,0,935,5,79500
2004,5,Gd,8320,RL,6,2004,Lvl,490,2,770,770,812,1582,7,185900
2008,5,Ex,13478,RL,10,2008,Lvl,1338,3,1728,1722,568,2296,10,451950
2003,8,TA,6600,RL,4,1982,Lvl,816,2,816,816,0,816,5,138000
2003,5,Gd,4435,RM,4,2003,Lvl,685,2,848,848,0,848,6,140000
1975,6,Gd,7990,RL,5,1975,Lvl,0,1,924,924,0,924,5,110000
2006,5,Gd,11302,RL,7,2005,Lvl,1422,3,1826,1814,0,1826,8,319000
1993,7,TA,3600,RM,7,1910,Lvl,0,1,684,684,684,1368,6,114504
2007,5,Ex,3922,RL,7,2006,Lvl,0,3,1402,1258,0,1402,7,194201
1977,6,Gd,12984,RL,7,1977,Bnk,1283,2,1647,1430,0,1647,5,217500
1980,6,Gd,1950,RM,6,1980,Lvl,81,2,716,716,840,1556,6,151000
2005,5,Gd,10927,RL,8,2005,Lvl,546,2,1058,1058,846,1904,8,275000
1950,6,TA,9000,RM,6,1937,Bnk,0,1,780,780,595,1375,6,141000
1992,5,Gd,10041,RL,8,1992,Lvl,789,2,927,908,988,1915,8,220000
2005,5,Gd,3182,FV,4,2004,Lvl,0,2,600,600,600,1200,7,151000
2002,5,Gd,12803,RL,6,2002,Lvl,922,2,1494,1494,0,1494,7,221000
1990,6,TA,13600,RL,7,1965,Lvl,454,2,1186,768,800,1986,7,205000
1996,5,Gd,12464,RL,6,1996,Low,732,2,1040,1040,0,1040,5,152000
2002,8,TA,7800,RL,8,1948,Bnk,603,1,1112,896,896,2008,5,225000
1998,6,Gd,12168,RL,10,1934,HLS,428,2,1940,965,1254,3194,8,359100
1961,5,TA,7943,RL,5,1961,Lvl,903,1,1029,1029,0,1029,4,118500
2000,5,Ex,11050,RL,8,2000,Lvl,904,3,1476,1440,677,2153,9,313000
1978,6,Gd,10395,RL,6,1978,Lvl,605,2,1032,1032,0,1032,6,148000
2001,5,Gd,11885,RL,7,2001,Lvl,990,2,1299,1299,573,1872,8,261500
2007,5,Gd,8402,RL,6,2007,Lvl,206,0,1120,1120,0,1120,5,147000
1972,6,Gd,1491,RM,3,1972,Lvl,150,0,630,630,0,630,4,75500
1963,7,TA,8800,RL,6,1963,Lvl,763,2,1054,936,0,1054,6,137500
2003,5,Gd,7861,RL,7,2002,Lvl,457,2,807,783,702,1509,6,183200
1954,6,TA,7227,RL,4,1954,HLS,0,2,832,832,0,832,6,105500
2007,5,Ex,11694,RL,9,2007,Lvl,48,3,1828,1822,0,1828,9,314813
2003,5,Gd,12244,RL,10,2003,Lvl,871,3,1482,1482,780,2262,8,305000
1950,3,TA,8248,RL,5,1914,Lvl,41,0,864,864,0,864,3,67000
1997,7,TA,10800,RL,9,1974,Lvl,956,2,1548,1522,1066,2614,6,240000
1977,6,TA,7064,RL,6,1977,Lvl,560,2,980,980,0,980,5,135000
2000,5,Gd,2117,FV,4,2000,Lvl,420,2,756,756,756,1512,6,168500
1972,5,TA,10400,RL,8,1972,Lvl,247,2,1012,732,778,1790,6,165150
1962,6,TA,10000,RL,5,1962,Lvl,0,2,1116,1116,0,1116,6,160000
1978,5,TA,12342,RL,6,1960,Lvl,0,1,1422,978,0,1422,5,139900
1972,6,TA,9600,RL,7,1955,Lvl,674,1,1520,1156,0,1520,6,153000
1969,5,Gd,11606,RL,9,1969,HLS,650,2,1040,1040,1040,2080,5,135000
1964,5,TA,9020,RL,6,1964,Lvl,624,2,1350,1248,0,1350,6,168500
1991,6,Fa,9000,RM,8,1880,Lvl,0,1,1089,636,661,1750,5,124000
2006,5,Gd,4590,RL,6,2006,Lvl,24,2,1554,1554,0,1554,8,209500
1977,5,TA,11900,RL,6,1977,Lvl,822,2,1411,1386,0,1411,7,82500
