1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
1686,1686,0,1686,6,207500
1126,1126,0,1126,5,175000
1234,1181,1140,2374,8,285000
1098,832,880,1978,7,176000
1788,1753,0,1788,8,236500
993,964,1243,2236,7,222000
1466,1466,0,1466,8,201000
925,925,0,925,5,117500
1905,1905,0,1905,9,320000
1500,1500,0,1500,7,190000
2069,585,0,2069,7,242000
747,600,0,747,4,79900
1200,1176,0,1200,7,184900
1113,1113,858,1971,7,253000
1391,1391,571,1962,7,239799
1207,1032,1196,2403,7,244400
1728,1728,0,1728,6,150900
1022,992,1038,2060,7,214000
1440,1440,0,1440,4,150000
1632,1632,0,1632,5,143000
1344,819,0,1344,6,137500
1188,1088,561,1869,5,124900
1144,1144,0,1144,5,143000
1629,1616,0,1629,8,270000
936,936,840,1776,7,192500
1381,1161,0,1381,6,197500
864,864,0,864,5,129000
965,828,0,965,5,119900
768,768,0,768,5,133900
1168,784,800,1968,5,172000
980,945,0,980,6,127500
979,979,979,1958,6,145000
561,561,668,1229,6,124000
1057,1057,0,1057,5,132000
1337,1337,0,1337,7,185000
696,696,720,1416,7,155000
858,858,0,858,5,116500
1542,1330,1330,2872,6,272000
804,804,744,1548,6,155000
1800,1800,0,1800,9,239000
824,817,1070,1894,7,214900
783,783,701,1484,6,178900
976,728,332,1308,5,160000
1098,1098,0,1098,5,135000
600,600,368,968,3,37900
1095,588,0,1095,6,140000
720,720,472,1192,4,135000
764,764,862,1626,7,173000
918,918,0,918,6,99500
1428,1428,0,1428,7,182000
1136,728,883,2019,7,167500
673,673,709,1382,7,165000
869,440,0,869,4,85500
1241,1241,0,1241,7,199900
894,894,0,894,4,110000
1121,1121,0,1121,5,139000
999,944,0,999,7,178400
1276,1225,1336,2612,8,336000
1266,1266,0,1266,7,159895
1149,1128,1141,2290,8,255900
1302,0,432,1734,5,126000
1164,1164,0,1164,5,125000
1001,485,634,1635,6,117000
1940,1930,0,1940,9,395192
1118,848,912,2030,6,195000
778,770,798,1576,7,197000
1407,1396,985,2392,8,348000
916,916,826,1742,8,168000
1020,822,831,1851,6,187000
750,750,750,1500,6,173900
1718,1700,0,1718,10,337500
774,747,456,1230,4,121600
1050,1050,0,1050,5,136500
1442,1442,0,1442,6,185000
1077,1007,0,1077,3,91000
1208,1187,0,1208,7,206000
944,0,0,944,3,82000
691,691,0,691,5,86000
1574,1574,0,1574,8,232000
1680,1680,0,1680,5,136905
1504,1346,0,1504,7,181000
985,985,0,985,5,149900
1657,1657,0,1657,6,163500
546,546,546,1092,4,88000
1710,1710,0,1710,7,240000
1008,1008,0,1522,5,102000
720,720,551,1271,5,135000
1664,0,0,1664,5,100000
900,602,602,1502,6,165000
1022,1022,0,1022,5,85000
1082,1082,0,1082,6,119200
810,810,855,1665,8,227000
1504,1504,0,1504,7,203000
1360,1220,0,1360,8,187500
802,384,670,1472,7,160000
1506,1362,0,1506,7,213490
1132,1132,0,1132,4,176000
1220,1199,0,1220,7,194000
912,912,336,1248,5,87000
1504,1346,0,1504,7,191000
2898,1565,0,2898,8,287000
882,882,0,882,5,112500
1264,1268,0,1264,5,167500
1646,1638,0,1646,8,293077
968,768,408,1376,5,105000
672,672,546,1218,6,118000
948,686,980,1928,5,160000
1687,824,998,3082,7,197000
1352,1338,1168,2520,8,310000
1654,1654,0,1654,7,230000
954,920,0,954,5,119750
845,0,0,845,4,84000
1620,1620,0,1620,9,315500
1055,1055,1208,2263,8,287000
798,546,546,1344,4,97000
630,630,0,630,4,80000
1803,1134,0,1803,5,155000
800,800,832,1632,6,173000
1306,1306,0,1306,6,196000
1532,1475,797,2329,7,262280
2524,2524,0,2524,8,278000
1733,0,0,1733,3,139600
1992,1992,876,2868,9,556581
990,990,0,990,5,145000
1771,0,0,1771,5,115000
930,0,0,930,4,84900
1302,1302,0,1302,7,176485
1316,1316,0,1316,7,200141
1127,816,850,1977,6,165000
1526,1216,0,1526,5,144500
1091,1065,898,1989,8,255000
1523,1193,0,1523,6,180000
1364,1364,0,1364,7,185850
979,973,871,1850,7,248000
1130,1104,1054,2184,9,335000
1096,854,895,1991,6,220000
1338,1338,0,1338,8,213500
894,894,0,894,3,81000
1422,662,915,2337,5,90000
1103,1103,0,1103,6,110500
1154,1154,0,1154,5,154000
1306,1306,954,2260,7,328000
799,799,772,1571,6,178000
798,780,813,1611,6,167900
1291,942,1230,2521,6,151400
893,845,0,893,5,135000
1048,1048,0,1048,5,135000
829,727,727,1556,6,154000
1002,810,454,1456,5,91500
698,690,728,1426,6,159500
1240,1240,0,1240,7,194000
960,800,780,1740,7,219500
1096,796,370,1466,5,170000
1096,1096,0,1096,5,138800
848,848,0,848,6,155900
990,990,0,990,5,126000
1258,1258,0,1258,6,145000
1040,1040,0,1040,5,133000
1459,1459,0,1459,7,192000
1251,1251,0,1251,6,160000
691,691,807,1498,6,187500
996,936,0,996,6,147000
546,546,546,1092,4,83500
1082,1082,871,1953,8,252000
970,970,739,1709,7,137500
1247,1247,0,1247,8,197000
1040,0,0,1040,3,92900
624,600,628,1252,7,160000
1390,1181,304,1694,6,136500
1200,864,0,1200,5,146000
936,936,0,936,5,129000
1314,1314,0,1314,6,176432
773,684,582,1355,6,127000
1088,1074,0,1088,8,170000
757,672,567,1324,4,128000
1601,1271,0,1601,7,157000
438,290,0,438,2,60000
950,950,0,950,5,119500
1134,1010,0,1134,5,135000
1194,655,0,1194,6,159500
630,630,672,1302,5,106000
1500,1463,1122,2622,8,325000
1442,910,0,1442,7,179900
887,868,1134,2021,7,274725
948,924,742,1690,6,181000
1836,1836,0,1836,8,280000
773,773,885,1658,6,188000
1098,803,866,1964,7,205000
816,816,0,816,5,129900
1008,1008,0,1008,5,134500
833,833,0,833,5,117000
1734,1734,0,1734,8,318000
779,408,640,1419,8,184100
894,894,0,894,5,130000
1021,533,580,1601,5,140000
1040,1040,0,1040,5,133700
1012,1012,0,1012,6,118400
1552,1552,0,1552,7,212900
960,672,0,960,4,112000
698,698,0,698,5,118000
812,384,670,1482,7,163900
1005,1005,0,1005,4,115000
1555,1373,0,1555,7,174000
1530,1530,0,1530,7,259000
847,847,1112,1959,7,215000
936,936,0,936,5,140000
1328,1122,653,1981,4,135000
974,974,0,974,5,93500
1178,1008,1032,2210,6,117500
1142,1128,878,2020,8,239500
916,916,684,1600,6,169000
986,960,0,986,6,102000
1032,1032,220,1252,6,119000
780,780,240,1020,5,94000
1567,1567,0,1567,6,196000
1167,915,0,1167,5,144000
952,952,0,952,5,139000
1088,780,780,1868,5,197500
1466,1466,1362,2828,8,424870
1006,1006,0,1006,5,80000
672,672,252,924,4,80000
1042,1042,534,1576,5,149000
1298,1298,0,1298,6,180000
860,704,704,1564,7,174500
572,572,539,1111,7,116900
832,650,650,1482,7,143000
932,932,0,932,6,124000
1466,1466,0,1466,5,149900
1811,1073,0,1811,6,230000
816,816,0,816,6,120500
902,864,918,1820,7,201800
1437,1437,0,1437,5,218000
1265,1219,0,1265,5,179900
1314,1314,0,1314,7,230000
1580,1580,0,1580,8,235128
943,901,933,1876,6,185000
855,855,601,1456,6,146000
1640,1296,0,1640,6,224000
894,894,0,894,5,129000
1258,1198,0,1258,4,108959
1432,1360,0,1432,5,194000
1502,1502,0,1502,7,233170
1694,1694,0,1694,8,245350
959,959,712,1671,6,173000
1236,1127,872,2108,6,235000
1831,1930,1796,3627,10,625000
1118,1096,0,1118,6,171000
1261,1261,0,1261,6,163000
625,625,625,1250,7,171900
1636,1598,971,3086,5,200500
1170,952,1175,2345,6,239000
2129,1683,743,2872,8,285000
923,876,0,923,5,119500
818,818,406,1224,6,115000
820,731,523,1343,5,154900
1124,0,0,1124,5,93000
1298,1216,1216,2514,7,250000
1652,1600,0,1652,8,392500
2411,2396,2065,4476,10,745000
1130,1120,0,1130,5,120000
1572,1572,0,1572,5,186700
949,784,272,1221,5,104900
1014,978,685,1699,3,95000
1624,1624,0,1624,8,262000
831,831,829,1660,7,195000
1028,994,776,1804,7,189000
1622,1249,0,1622,4,168000
764,776,677,1441,8,174000
842,702,630,1472,5,125000
1224,1224,0,1224,6,165000
663,663,689,1352,6,158000
728,728,728,1456,6,176000
879,879,984,1863,7,219210
815,815,875,1690,7,144000
1212,1212,0,1212,7,178000
1382,1051,0,1382,4,148000
864,864,0,864,4,116050
866,866,913,1779,7,197900
884,884,464,1348,5,117000
1630,1630,0,1630,7,213000
1074,1056,0,1074,5,153500
2196,2158,0,2196,7,271900
1056,1056,0,1056,4,107000
1700,1682,0,1700,6,200000
1283,931,0,1283,5,140000
1660,1660,0,1660,8,290000
1055,1055,790,1845,6,189000
1080,559,672,1752,8,164000
672,672,0,672,4,113000
960,648,0,960,4,145000
999,925,0,999,5,134500
894,894,0,894,5,125000
1318,0,584,1902,6,112000
1314,1300,0,1314,8,229456
672,0,240,912,4,80500
672,672,546,1218,6,91500
912,912,0,912,5,115000
1211,952,0,1211,5,134000
1168,1040,678,1846,6,143000
2136,2136,0,2136,5,137900
788,788,702,1490,7,184000
1138,588,0,1138,6,145000
894,894,1039,1933,6,214000
912,912,0,912,5,147000
1702,1702,0,1702,9,367294
1507,1075,0,1507,5,127000
1361,1361,1259,2620,5,190000
1190,1106,0,1190,5,132500
1224,0,0,1224,4,101800
1188,1188,0,1188,5,142000
1024,940,940,1964,5,130000
892,747,892,1784,5,138887
764,764,862,1626,7,175500
847,847,1101,1948,7,195000
1141,1141,0,1141,6,142500
1484,1476,0,1484,8,265900
884,884,884,1768,7,224900
1689,1689,0,1689,7,248328
1173,1053,0,1173,7,170000
2076,2076,0,2076,10,465000
792,792,725,1517,8,230000
1140,585,728,1868,6,178000
756,756,797,1553,7,186500
1034,1012,0,1034,6,169900
1134,735,924,2058,6,129500
988,876,0,988,5,119000
2110,2110,0,2110,7,244000
1405,1405,0,1405,7,171750
874,864,0,874,5,130000
1516,1192,651,2167,7,294000
760,746,896,1656,7,165400
959,884,408,1367,6,127500
1987,1986,0,1987,8,301500
864,864,0,864,5,99900
1166,856,0,1166,7,190000
1054,1054,0,1054,6,151000
892,841,783,1675,6,181000
1050,1050,0,1050,5,128900
1104,1104,684,1788,4,161500
1060,764,764,1824,6,180500
1337,1405,0,1337,6,181000
713,691,739,1452,7,183900
964,925,925,1889,7,122000
2018,2002,0,2018,9,378500
1968,728,1479,3447,8,381000
874,874,650,1524,5,144000
1332,1332,192,1524,7,260000
1489,1489,0,1489,6,185750
935,935,0,935,5,137000
1357,1019,0,1357,6,177000
661,661,589,1250,5,139000
928,928,992,1920,5,137000
735,723,660,1395,6,162000
1724,1680,0,1724,6,197900
1128,1128,903,2031,8,237000
698,698,430,1128,4,68400
1573,1573,0,1573,7,227000
1339,1309,0,1339,7,180000
1040,1040,0,1040,5,150500
912,912,912,1824,6,139000
1699,804,748,2447,6,169000
825,780,587,1412,6,132500
1328,1328,0,1328,6,143000
1582,1624,0,1582,5,190000
1659,1501,0,1659,8,278000
1120,1085,850,1970,8,281000
1152,1152,0,1152,5,180500
630,630,672,1302,5,119500
1378,994,994,2372,5,107500
832,832,832,1664,7,162900
864,864,0,864,5,115000
1052,1052,0,1052,5,138500
1128,1120,0,1128,5,155000
1072,547,0,1072,6,140000
4692,6110,950,5642,10,160000
1246,1246,0,1246,5,154000
1005,978,978,1983,7,225000
753,771,741,1494,6,177500
1203,1165,1323,2526,8,290000
1616,1616,0,1616,7,232000
976,976,732,1708,7,130000
1652,1652,0,1652,9,325000
1368,1368,0,1368,7,202500
990,990,0,990,5,138000
1122,924,0,1122,5,147000
1294,1278,0,1294,6,179200
1902,1902,0,1902,7,335000
1274,1274,0,1274,7,203000
1453,1453,1357,2810,8,302000
1422,1393,1177,2599,9,333168
948,948,0,948,4,119000
1092,952,1020,2112,6,206900
1630,1622,0,1630,8,295493
1352,1352,0,1352,7,208900
1787,1753,0,1787,8,275000
948,864,0,948,4,111000
1478,1478,0,1478,6,156500
720,0,0,720,3,72500
1061,750,862,1923,7,190000
708,420,0,708,4,82500
1795,1795,0,1795,8,147000
796,796,0,796,4,55000
774,544,0,774,3,79000
816,816,0,816,5,130500
1584,1510,1208,2792,6,256000
955,935,677,1632,7,176500
1588,1588,0,1588,8,227000
954,911,0,954,5,132500
816,816,0,816,4,100000
803,803,557,1360,5,125500
765,765,600,1365,5,125000
1334,1350,0,1334,6,167900
1656,1656,0,1656,5,135000
693,693,0,693,4,52500
920,916,941,1861,7,200000
864,864,0,864,5,128500
872,858,0,872,4,123000
1114,1114,0,1114,6,155000
1284,1284,885,2169,8,228500
1172,896,741,1913,6,177000
728,728,728,1456,7,155835
960,960,0,960,4,108500
2156,1568,0,2156,7,262500
1776,1732,0,1776,8,283463
1494,1482,0,1494,7,215000
938,684,1215,2358,8,122000
1338,1248,1296,2634,5,200000
858,858,858,1716,6,171000
786,698,390,1176,6,134900
2053,2033,1185,3238,8,410000
992,992,873,1865,7,235000
1222,570,698,1920,7,170000
892,864,0,892,5,110000
1078,1078,0,1078,5,149900
769,756,804,1573,6,177500
1980,1980,0,1980,9,315000
990,612,1611,2601,5,189000
1530,1530,0,1530,7,260000
1281,715,457,1738,4,104900
616,616,796,1412,6,156932
520,600,600,1200,7,144152
814,814,860,1674,7,216000
882,873,908,1790,7,193000
925,757,550,1475,5,127000
848,848,0,848,6,144000
1668,1657,0,1668,8,232000
840,840,534,1374,4,105000
1661,992,0,1661,6,165500
1108,1108,989,2097,7,274300
2633,2633,0,2633,10,466500
1026,1026,932,1958,7,250000
1571,1571,0,1571,8,239000
790,768,0,790,6,91000
984,984,620,1604,5,117000
483,483,504,987,6,83000
754,384,640,1394,5,167500
864,864,0,864,3,58500
2117,1205,0,2117,6,237500
998,596,764,1762,7,157000
1416,816,0,1416,5,112000
698,560,560,1258,6,105000
796,796,358,1154,4,125500
1392,1392,1392,2784,7,250000
1664,714,862,2526,6,136000
1746,1746,0,1746,9,377500
869,735,349,1218,6,131000
1525,1525,0,1525,7,235000
1584,1584,0,1584,5,124000
900,864,0,900,5,123000
1221,482,691,1912,6,163000
1500,1356,0,1500,7,246578
1133,1094,1349,2482,8,281213
1687,747,0,1687,5,160000
939,939,574,1513,5,137500
1136,1208,768,1904,5,138000
1160,976,448,1608,6,137450
950,862,208,1158,6,120000
864,839,729,1593,6,193000
1294,1286,0,1294,7,193879
1464,1485,0,1464,8,282922
694,672,520,1214,3,105000
1646,1594,0,1646,8,275000
768,768,0,768,5,133000
833,833,0,833,5,112000
741,622,622,1363,4,125500
1236,791,857,2093,7,215000
944,944,896,1840,7,230000
1112,856,556,1668,6,140000
1040,0,0,1040,4,90000
1844,1844,0,1844,8,257000
1053,833,795,1848,6,207000
1569,1386,0,1569,7,175900
1246,777,1044,2290,4,122500
1310,1284,1140,2450,8,340000
1144,1144,0,1144,5,124000
1844,1844,0,1844,6,223000
708,708,708,1416,6,179900
1069,1069,0,1069,6,127500
848,848,0,848,6,136500
1575,697,626,2201,6,274970
1344,1024,0,1344,5,144000
1252,1252,0,1252,6,142000
1223,1223,904,2127,7,271000
1048,913,510,1558,5,140000
804,788,0,804,5,119000
1440,1440,0,1440,6,182900
734,732,1104,1838,5,192140
958,958,0,958,6,143750
968,656,0,968,4,64500
962,936,830,1792,6,186500
1126,1126,0,1126,5,160000
1537,1319,0,1537,6,174000
864,864,0,864,4,120500
1932,1932,0,1932,8,394617
1236,912,0,1236,6,149700
1040,539,685,1725,7,197000
1423,588,748,2555,6,191000
848,848,0,848,6,149300
1026,1017,981,2007,10,310000
952,952,0,952,6,121000
1422,1422,0,1422,7,179600
913,814,0,913,6,129000
1188,1188,0,1188,5,157900
1220,1220,870,2090,8,240000
796,560,550,1346,4,112000
630,630,0,630,5,92000
896,896,896,1792,5,136000
1578,1573,0,1578,8,287090
1072,547,0,1072,5,145000
1140,1140,0,1140,5,84500
1221,1221,0,1221,7,185000
953,953,694,1647,6,175000
2073,1542,0,2073,6,210000
1188,1152,1152,2340,7,266500
1078,1078,0,1078,5,142125
1256,1256,0,1256,5,147500
