LotArea,MSZoning,TotRmsAbvGrd,YearBuilt,LandContour,BsmtFinSF1,GarageCars,1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
8339,RL,5,1959,Lvl,0,1,882,0,0,882,5,106500
7446,RL,4,1941,Lvl,266,0,788,788,0,788,4,100000
10134,RL,5,1940,Lvl,0,1,735,735,299,1034,5,109000
9571,RL,6,1956,Lvl,739,1,1144,1144,0,1144,5,129000
7200,RL,6,1972,Low,777,2,894,894,0,894,5,123000
7590,RL,8,1962,Lvl,540,1,876,864,936,1812,5,169500
8967,RM,6,1920,Lvl,0,1,1077,961,0,1077,5,67000
8125,FV,7,2006,Lvl,812,2,1112,1092,438,1550,7,241000
14963,RL,4,1996,Lvl,786,2,1288,1260,0,1288,8,245500
8767,RL,6,2005,Lvl,24,2,1310,1310,0,1310,7,164990
10200,RL,4,1940,Lvl,0,1,672,672,0,672,5,108000
12090,RL,10,1998,Lvl,0,2,1165,1141,1098,2263,8,258000
10364,RL,7,1995,Lvl,0,2,806,806,766,1572,6,168000
9991,RL,8,1976,Lvl,1116,2,1620,1281,0,1620,4,150000
10480,RL,6,1936,Lvl,0,1,1166,1064,0,1639,6,115000
15576,RL,8,1915,Lvl,0,1,840,840,840,1680,6,177000
14154,RL,9,2006,Lvl,0,3,1071,1063,1101,2172,7,280000
10800,FV,8,2007,Lvl,789,3,1050,1034,1028,2078,8,339750
9571,RL,5,1958,Lvl,0,1,1276,1276,0,1276,5,60000
34650,RL,5,1955,Bnk,1056,2,1056,1056,0,1056,5,145000
4403,FV,7,2009,Lvl,578,2,1478,1470,0,1478,7,222000
8960,RM,5,1927,Lvl,0,2,1028,1008,0,1028,5,115000
11228,RL,9,1993,Lvl,50,3,1080,1080,1017,2097,7,228000
8899,RL,6,2007,Lvl,24,2,1340,1340,0,1340,7,181134
7844,RL,6,1978,Lvl,209,2,672,672,728,1400,6,149500
22420,RL,10,1918,Lvl,1128,3,1370,1370,1254,2624,6,239000
8160,RL,7,1940,Lvl,312,1,756,756,378,1134,5,126000
8450,RL,6,1968,Lvl,775,1,1056,1056,0,1056,5,142000
7060,RM,8,1997,Lvl,1309,4,1344,1344,0,1344,7,206300
16635,RL,8,1977,Lvl,1246,2,1602,1602,0,1602,6,215000
21750,RL,4,1954,HLS,0,2,988,988,0,988,5,113000
9200,RL,8,1998,Lvl,986,3,1470,1470,1160,2630,8,315000
9000,RL,6,1956,Lvl,616,1,1196,1196,0,1196,6,139000
3378,RM,6,1946,HLS,0,1,707,651,682,1389,7,135000
12800,RL,5,1989,Low,1518,2,1644,1518,0,1644,7,275000
8593,RL,5,1957,Lvl,288,1,907,907,0,907,4,109008
6762,RL,6,2007,Lvl,664,2,1208,1208,0,1208,7,195400
11457,RL,6,1988,Lvl,1005,2,1412,1392,0,1412,6,175000
1680,RM,4,1971,Lvl,387,1,483,483,504,987,6,85400
5586,RM,7,1920,Bnk,0,0,1088,901,110,1198,6,79900
1920,RM,6,1971,Lvl,471,2,765,765,600,1365,5,122500
10839,RL,7,1997,Lvl,0,2,926,926,678,1604,6,181000
1890,RM,3,1972,Lvl,495,0,630,630,0,630,4,81000
10667,RL,6,1996,Lvl,385,2,827,799,834,1661,7,212000
4400,RM,6,1920,Lvl,0,2,734,648,384,1118,6,116000
6000,RM,4,1926,Lvl,0,1,904,884,0,904,6,119000
4280,RL,4,1913,Lvl,365,1,694,440,0,694,5,90350
12354,RL,7,1920,Lvl,0,2,684,684,512,1196,6,110000
15431,RL,10,2008,Lvl,1767,3,2402,3094,0,2402,10,555000
12108,RL,8,1955,Lvl,133,0,1440,1440,0,1440,4,118000
6240,RM,8,1930,Lvl,0,2,1128,1078,445,1573,5,162900
3922,RL,6,2006,Lvl,0,3,1258,1258,0,1258,7,172500
8750,RL,8,1994,Lvl,642,2,933,915,975,1908,7,210000
9855,RL,7,1956,Lvl,0,2,1689,1436,0,1689,6,127500
16492,RL,6,1966,Lvl,247,2,1888,1517,0,1888,6,190000
11214,RL,10,1998,Lvl,0,2,956,930,930,1886,7,199900
8600,RM,7,1937,Bnk,0,1,780,780,596,1376,6,119500
6000,RM,6,1948,Lvl,331,1,679,649,504,1183,3,120000
5684,RM,5,1930,Lvl,0,1,813,813,0,813,6,110000
70761,RL,5,1975,Low,655,2,1533,1533,0,1533,7,280000
9303,RL,7,1996,Lvl,742,2,888,872,868,1756,6,204000
9000,FV,6,2008,Lvl,0,2,786,768,804,1590,8,210000
9297,RL,8,1976,Lvl,1606,2,1728,1728,0,1728,5,188000
9600,RL,6,1973,Lvl,916,2,1242,1242,0,1242,7,175500
4571,RM,7,1916,Lvl,0,3,624,624,720,1344,5,98000
53227,RL,6,1954,Low,1116,2,1663,1364,0,1663,4,256000
5100,RM,7,1925,Lvl,0,1,833,588,833,1666,8,161000
7015,RL,5,1950,Bnk,185,1,979,709,224,1203,5,110000
8004,FV,8,2009,Lvl,544,2,832,832,1103,1935,8,263435
7200,RL,6,1936,Lvl,350,2,575,560,560,1135,7,155000
8281,RL,5,1965,Lvl,553,1,864,864,0,864,5,62383
11988,RL,6,1934,HLS,326,1,849,715,811,1660,6,188700
8430,RL,5,1978,HLS,616,0,1040,1040,0,1040,5,124000
3072,RM,6,2004,Lvl,0,2,1414,1375,0,1414,7,178740
10628,RL,5,1970,Lvl,778,2,1277,1277,0,1277,7,167000
9480,RL,7,1942,Lvl,386,1,888,728,756,1644,5,146500
11428,RL,7,2006,Lvl,0,3,1634,1626,0,1634,8,250000
9291,RL,7,1993,Lvl,426,2,832,832,878,1710,6,187000
6820,RL,4,1985,Lvl,368,2,1502,1488,0,1502,8,212000
11952,RL,8,1977,Lvl,0,2,1161,808,808,1969,7,190000
3675,RM,5,2005,Lvl,459,2,1072,547,0,1072,6,148000
14977,RL,7,2006,Lvl,1350,3,1976,1976,0,1976,8,440000
5330,RL,6,2000,Lvl,1196,2,1652,1494,0,1652,8,251000
8480,RL,5,1963,Lvl,630,2,970,970,0,970,5,132500
13125,RL,7,1997,Lvl,994,2,1493,1478,0,1493,6,208900
13693,RL,9,2006,Lvl,0,3,2069,2153,574,2643,9,380000
10637,RL,7,2007,Lvl,1288,3,1718,1705,0,1718,8,297000
5925,RM,7,1937,Bnk,168,2,1131,907,0,1131,4,89471
16033,RL,8,2004,Lvl,1261,3,1850,1833,0,1850,9,326000
11846,RL,6,2003,HLS,1567,3,1792,1792,0,1792,9,374000
2500,RM,7,1915,Lvl,299,1,916,910,910,1826,7,155000
4500,RM,5,1998,Lvl,897,2,1216,1216,0,1216,6,164000
7758,RL,6,1962,Lvl,588,1,999,999,0,999,5,132500
9600,RL,5,1950,Lvl,607,1,1113,1113,0,1113,5,147000
10289,RL,6,1965,Lvl,836,2,1073,1073,0,1073,5,156000
12243,RL,7,1971,Lvl,998,2,1484,1484,0,1484,5,175000
10800,RL,10,1900,Lvl,664,2,1766,954,648,2414,5,160000
1526,RM,3,1970,Lvl,515,1,630,630,0,630,4,86000
2665,RM,4,1976,Lvl,0,1,616,264,688,1304,5,115000
9490,RL,5,1941,Lvl,403,1,958,806,620,1578,6,133000
15578,RL,8,2006,Lvl,0,2,728,728,728,1456,6,172785
7931,RL,6,1960,Lvl,374,1,1269,1269,0,1269,5,155000
5784,RM,4,1938,Lvl,0,1,886,190,0,886,5,91300
7879,C (all),4,1920,Lvl,495,0,720,720,0,720,4,34900
12692,RL,10,1992,Lvl,1231,2,3228,3200,0,3228,8,430000
9120,RL,8,1925,Lvl,329,1,1133,1026,687,1820,7,184000
7800,RL,5,1967,Lvl,450,1,899,864,0,899,5,130000
7535,RL,5,1958,Lvl,111,1,912,912,0,912,5,120000
1890,RM,7,1973,Lvl,356,1,672,672,546,1218,6,113000
9803,FV,7,2005,Lvl,400,2,866,866,902,1768,7,226700
9170,RL,6,1965,Lvl,698,2,1214,1214,0,1214,5,140000
15602,RL,6,1959,Lvl,1247,2,1801,1501,0,1801,7,289000
2308,RL,6,1974,Lvl,257,2,855,855,467,1322,6,147000
7596,RM,10,1952,Lvl,0,2,960,960,1000,1960,5,124500
9554,RL,8,1993,Lvl,380,2,1065,777,846,1911,8,215000
7862,FV,4,2009,Lvl,27,2,1218,1218,0,1218,6,208300
9600,RM,7,1928,Lvl,141,2,689,689,689,1378,7,161000
9600,RL,6,1959,Lvl,991,1,1041,1041,0,1041,5,124500
14559,RL,6,1951,Lvl,650,1,1363,1008,0,1363,5,164900
6792,RL,6,2005,Lvl,0,2,1368,1368,0,1368,7,202665
9100,RL,5,1958,Lvl,521,2,864,864,0,864,5,129900
9187,RL,5,1983,Bnk,336,2,1080,1084,0,1080,6,134000
10594,RL,5,1926,Lvl,0,1,789,768,0,789,5,96500
12220,RL,9,2009,Lvl,1436,3,2020,2006,0,2020,10,402861
10448,RL,7,1972,Lvl,0,2,1378,689,741,2119,6,158000
10208,RL,7,1996,Lvl,0,3,1277,1264,1067,2344,7,265000
9531,RL,7,1998,Lvl,706,2,882,794,914,1796,6,211000
10918,RL,9,1926,Lvl,0,1,1276,1276,804,2080,7,234000
10800,RL,7,1900,Lvl,0,0,694,0,600,1294,4,106250
11988,RL,6,1957,Lvl,777,1,1244,1244,0,1244,6,150000
5000,RM,7,1947,Lvl,399,2,1004,1004,660,1664,6,159000
40094,RL,11,2007,Bnk,2260,3,3138,3138,1538,4676,10,184750
11787,RL,8,1996,Lvl,719,3,1383,1379,1015,2398,7,315750
7500,FV,6,2005,Lvl,0,2,1266,1257,0,1266,7,176000
13300,RL,4,1956,Lvl,377,1,928,928,0,928,5,132000
14948,RL,11,2008,Lvl,1330,3,1476,1452,1237,2713,9,446261
9098,RL,5,1920,Lvl,348,0,605,528,0,605,4,86000
32668,RL,9,1957,Lvl,1219,2,2515,2035,0,2515,6,200624
10200,RL,5,1988,Lvl,783,2,1509,1461,0,1509,6,175000
6155,RM,6,1920,Lvl,0,2,751,611,611,1362,6,128000
7200,RL,5,1955,Lvl,0,1,827,0,0,827,5,107500
5000,RL,2,1946,Low,0,0,334,0,0,334,1,39300
9056,RL,6,2004,Lvl,0,2,707,707,707,1414,8,178000
7000,RL,5,1910,Lvl,969,0,820,1117,527,1347,5,107500
8924,RL,8,1998,Lvl,0,2,880,880,844,1724,7,188000
12735,RL,5,1972,Lvl,600,2,864,864,0,864,4,111250
11553,RL,7,1968,Lvl,673,1,1159,1051,0,1159,5,158000
11423,RL,6,2001,Lvl,1358,2,1601,1581,0,1601,8,272000
14601,RL,8,2006,Lvl,1260,3,1838,1838,0,1838,9,315000
11000,RL,8,2000,Lvl,0,3,997,969,1288,2285,8,248000
10140,RL,7,1998,Lvl,144,2,1680,1650,0,1680,7,213250
4058,RH,4,1998,Lvl,584,1,767,723,0,767,7,133000
17104,RL,7,2006,Lvl,554,2,664,654,832,1496,7,179665
13837,RL,9,1988,Lvl,1002,3,1377,1204,806,2183,7,229000
8737,RL,6,1923,Bnk,300,2,915,1065,720,1635,6,210000
7244,RL,5,1970,Lvl,619,2,768,768,0,768,5,129500
8235,RM,4,1955,HLS,180,2,825,825,0,825,5,125000
9375,FV,8,2003,Lvl,0,2,912,912,1182,2094,7,263000
4043,RL,4,1977,Lvl,559,2,1069,1069,0,1069,6,140000
6000,RM,5,1957,Lvl,308,1,928,928,0,928,5,112500
11146,RL,7,2006,Lvl,0,3,1717,1709,0,1717,8,255500
8777,RL,5,1949,Lvl,0,2,1126,0,0,1126,4,108000
10625,RL,8,2003,Lvl,866,3,1006,998,1040,2046,7,284000
6380,RM,5,1922,Lvl,0,1,1048,993,0,1048,5,113000
14850,RL,6,1957,Lvl,895,1,1092,1092,0,1092,5,141000
11040,C (all),7,1920,Low,637,1,897,637,439,1336,4,108000
21872,RL,6,1996,HLS,604,2,729,729,717,1446,7,175000
3196,RL,7,2003,Lvl,0,2,1557,1374,0,1557,7,234000
11341,RL,5,1957,Lvl,1302,2,1392,1392,0,1392,5,121500
10010,RL,6,1974,Lvl,1071,2,1389,1389,0,1389,5,170000
13907,RL,6,1940,Lvl,290,0,996,996,0,996,5,108000
21780,RL,8,1918,Lvl,0,2,1163,1163,511,1674,6,185000
13346,RL,9,1992,Lvl,728,2,1166,1095,1129,2295,7,268000
6858,RL,6,1915,Bnk,0,1,841,806,806,1647,6,128000
11198,RL,11,2005,Lvl,0,3,1134,1122,1370,2504,9,325000
10171,RL,7,2004,Lvl,2,2,1535,1517,0,1535,7,214000
12327,RL,5,1983,Low,1441,2,1496,1496,636,2132,8,316600
7032,RL,4,1979,Lvl,943,2,943,943,0,943,5,135960
13101,RL,10,1965,Lvl,231,2,1728,1728,0,1728,5,142600
7332,RL,4,1959,Lvl,414,1,864,864,0,864,6,120000
13159,RL,6,2009,HLS,0,2,846,846,846,1692,7,224500
9967,RL,8,2000,Lvl,0,2,774,384,656,1430,7,170000
10500,RL,5,1971,Lvl,349,1,576,372,533,1109,5,139000
8480,RL,6,1947,Lvl,442,1,832,832,384,1216,5,118500
6292,RL,6,1928,Lvl,0,1,877,861,600,1477,7,145000
11777,RL,6,1966,Lvl,328,2,1320,1164,0,1320,5,164500
3604,FV,5,2007,Lvl,0,2,703,689,689,1392,7,146000
12150,RM,7,1954,Lvl,0,1,1050,1050,745,1795,5,131500
14585,RL,7,1960,Lvl,594,2,1429,1144,0,1429,6,181900
12704,RL,8,2008,Lvl,0,3,2042,2042,0,2042,8,253293
11841,RL,5,1990,Lvl,816,0,816,816,0,816,6,118500
13500,RM,9,1893,Lvl,0,2,1521,1237,1254,2775,10,325000
6120,RM,6,1935,Lvl,0,1,989,884,584,1573,4,133000
11443,RL,7,2005,Lvl,1460,3,2028,1868,0,2028,8,369900
10267,RL,5,1918,Lvl,210,1,838,816,0,838,6,130000
8740,RL,4,1982,Lvl,672,2,860,840,0,860,5,137000
25095,RL,5,1968,Low,1324,1,1473,1437,0,1473,5,143000
9100,RM,4,1930,Lvl,0,1,779,742,0,935,5,79500
8320,RL,6,2004,Lvl,490,2,770,770,812,1582,7,185900
13478,RL,10,2008,Lvl,1338,3,1728,1722,568,2296,10,451950
6600,RL,4,1982,Lvl,816,2,816,816,0,816,5,138000
4435,RM,4,2003,Lvl,685,2,848,848,0,848,6,140000
7990,RL,5,1975,Lvl,0,1,924,924,0,924,5,110000
11302,RL,7,2005,Lvl,1422,3,1826,1814,0,1826,8,319000
3600,RM,7,1910,Lvl,0,1,684,684,684,1368,6,114504
3922,RL,7,2006,Lvl,0,3,1402,1258,0,1402,7,194201
12984,RL,7,1977,Bnk,1283,2,1647,1430,0,1647,5,217500
1950,RM,6,1980,Lvl,81,2,716,716,840,1556,6,151000
10927,RL,8,2005,Lvl,546,2,1058,1058,846,1904,8,275000
9000,RM,6,1937,Bnk,0,1,780,780,595,1375,6,141000
10041,RL,8,1992,Lvl,789,2,927,908,988,1915,8,220000
3182,FV,4,2004,Lvl,0,2,600,600,600,1200,7,151000
12803,RL,6,2002,Lvl,922,2,1494,1494,0,1494,7,221000
13600,RL,7,1965,Lvl,454,2,1186,768,800,1986,7,205000
12464,RL,6,1996,Low,732,2,1040,1040,0,1040,5,152000
7800,RL,8,1948,Bnk,603,1,1112,896,896,2008,5,225000
12168,RL,10,1934,HLS,428,2,1940,965,1254,3194,8,359100
7943,RL,5,1961,Lvl,903,1,1029,1029,0,1029,4,118500
11050,RL,8,2000,Lvl,904,3,1476,1440,677,2153,9,313000
10395,RL,6,1978,Lvl,605,2,1032,1032,0,1032,6,148000
11885,RL,7,2001,Lvl,990,2,1299,1299,573,1872,8,261500
8402,RL,6,2007,Lvl,206,0,1120,1120,0,1120,5,147000
1491,RM,3,1972,Lvl,150,0,630,630,0,630,4,75500
8800,RL,6,1963,Lvl,763,2,1054,936,0,1054,6,137500
7861,RL,7,2002,Lvl,457,2,807,783,702,1509,6,183200
7227,RL,4,1954,HLS,0,2,832,832,0,832,6,105500
11694,RL,9,2007,Lvl,48,3,1828,1822,0,1828,9,314813
12244,RL,10,2003,Lvl,871,3,1482,1482,780,2262,8,305000
8248,RL,5,1914,Lvl,41,0,864,864,0,864,3,67000
10800,RL,9,1974,Lvl,956,2,1548,1522,1066,2614,6,240000
7064,RL,6,1977,Lvl,560,2,980,980,0,980,5,135000
2117,FV,4,2000,Lvl,420,2,756,756,756,1512,6,168500
10400,RL,8,1972,Lvl,247,2,1012,732,778,1790,6,165150
10000,RL,5,1962,Lvl,0,2,1116,1116,0,1116,6,160000
12342,RL,6,1960,Lvl,0,1,1422,978,0,1422,5,139900
9600,RL,7,1955,Lvl,674,1,1520,1156,0,1520,6,153000
11606,RL,9,1969,HLS,650,2,1040,1040,1040,2080,5,135000
9020,RL,6,1964,Lvl,624,2,1350,1248,0,1350,6,168500
9000,RM,8,1880,Lvl,0,1,1089,636,661,1750,5,124000
4590,RL,6,2006,Lvl,24,2,1554,1554,0,1554,8,209500
11900,RL,6,1977,Lvl,822,2,1411,1386,0,1411,7,82500
9250,RL,6,1954,Lvl,480,1,1056,1056,0,1056,5,139400
6979,RL,4,1980,Lvl,1056,2,1056,1056,0,1056,6,144000
10896,RH,14,1914,Bnk,256,0,1440,1440,1440,3395,6,200000
6120,RM,4,1936,Lvl,0,0,800,264,0,800,2,60000
6000,RM,7,1954,Lvl,0,1,811,811,576,1387,5,93000
8777,RL,4,1910,Lvl,0,0,796,796,0,796,5,85000
3982,RL,7,2006,Lvl,1154,3,1567,1520,0,1567,8,264561
12677,RL,6,2003,Lvl,1218,2,1518,1518,0,1518,8,274000
7050,FV,7,2001,Lvl,738,2,1057,1057,872,1929,7,226000
13860,RL,9,1972,Lvl,1410,2,2000,1952,704,2704,8,345000
10793,RL,7,1969,Lvl,493,2,780,780,840,1620,5,152000
9187,FV,7,2009,Lvl,1121,3,1766,1766,0,1766,9,370878
10530,RL,5,1971,Lvl,282,2,981,981,0,981,6,143250
7200,RL,7,1950,Lvl,0,2,1048,0,0,1048,5,98300
10452,RL,5,1953,Lvl,500,2,1094,1094,0,1094,6,155000
7700,RL,7,1966,Lvl,0,2,1051,756,788,1839,6,155000
1936,RM,3,1970,Lvl,131,0,630,630,0,630,4,84500
8125,FV,7,2007,Lvl,0,2,822,813,843,1665,7,205950
9084,RL,7,1940,Lvl,0,1,755,755,755,1510,4,108000
8750,RL,7,1996,Lvl,0,2,909,880,807,1716,7,191000
10320,RM,7,1906,Lvl,0,1,756,756,713,1469,6,135000
10437,RL,7,1995,Lvl,1696,3,2113,2109,0,2113,8,350000
1680,RM,6,1971,Lvl,0,1,525,525,567,1092,6,88000
10007,RL,5,1959,Lvl,806,1,1053,1053,0,1053,5,145500
7200,RL,6,1931,HLS,0,1,851,776,651,1502,7,149000
17503,RL,6,1948,Lvl,0,1,912,912,546,1458,6,97500
9937,RL,7,1964,Lvl,637,2,1486,1486,0,1486,5,167000
12384,RL,7,1976,Lvl,0,2,1142,793,793,1935,7,197900
46589,RL,8,1994,Lvl,1361,3,1686,1629,762,2448,8,402000
13560,RL,5,1968,Lvl,0,2,1392,1392,0,1392,6,110000
10012,RL,6,1972,Lvl,920,2,1181,1138,0,1181,4,137500
20896,RL,8,2005,Lvl,1721,3,2097,2077,0,2097,8,423000
11194,RL,7,2000,Lvl,0,2,1454,1406,482,1936,8,230500
18450,RL,7,1965,Lvl,187,2,1465,1021,915,2380,6,129000
8125,RL,7,1994,Lvl,1138,2,1679,1408,0,1679,6,193500
14175,RL,6,1956,Bnk,988,2,1437,1188,0,1437,5,168000
11600,RL,5,1922,Lvl,0,1,1180,700,0,1180,4,137500
8633,RL,7,2005,Lvl,193,2,738,738,738,1476,6,173500
6629,RH,6,1925,Lvl,551,1,697,672,672,1369,6,103600
11250,RL,6,1977,Lvl,767,2,1208,1208,0,1208,6,165000
14442,RL,7,1957,Lvl,1186,2,1839,1477,0,1839,6,257500
9200,RL,5,1965,Lvl,892,1,1136,1136,0,1136,6,140000
2289,RL,7,1978,Lvl,311,2,855,855,586,1441,6,148500
9600,RM,8,1900,Lvl,0,3,1095,1095,679,1774,4,87000
9022,RL,5,1924,Lvl,0,1,792,768,0,792,5,109500
11844,RL,7,2008,Lvl,0,3,2046,2046,0,2046,8,372500
9945,RL,5,1961,Lvl,827,2,988,988,0,988,5,128500
8012,RL,5,1980,Lvl,543,1,923,923,0,923,6,143000
4500,RH,6,1932,Bnk,182,1,848,793,672,1520,5,159434
2887,RL,6,1996,HLS,1003,2,1291,1291,0,1291,6,173000
11248,RL,7,2002,Lvl,1059,3,1668,1626,0,1668,9,285000
16770,RL,7,1998,Lvl,0,2,1195,1195,644,1839,7,221000
5062,RL,6,1984,Lvl,828,2,1190,1190,900,2090,7,207500
10207,FV,7,2007,Lvl,0,2,874,874,887,1761,7,227875
5105,FV,4,2004,Lvl,239,2,551,551,551,1102,7,148800
8089,RL,7,2007,HLS,945,2,1419,1419,0,1419,8,392000
7577,RL,6,2005,Lvl,20,2,1362,1362,0,1362,6,194700
4426,RM,3,2004,Lvl,697,2,848,848,0,848,6,141000
21535,RL,10,1994,Lvl,1455,3,2444,2444,1872,4316,10,755000
26178,RL,9,1989,Lvl,965,2,1238,1210,1281,2519,7,335000
5400,RL,4,1921,Lvl,0,1,1073,1073,0,1073,5,108480
6120,RM,5,1936,Lvl,0,2,1067,927,472,1539,5,141500
13811,RL,5,1987,Lvl,980,2,1137,1112,0,1137,6,176000
6000,RM,4,1921,Lvl,616,1,616,616,0,616,5,89000
6420,RL,6,1952,Lvl,210,1,1148,980,0,1148,5,123500
8450,RL,5,1965,Lvl,553,1,894,894,0,894,5,138500
4282,FV,5,2004,Lvl,16,2,1391,1391,0,1391,7,196000
14331,RL,7,2002,Lvl,1274,3,1800,1800,0,1800,8,312500
9600,RL,6,1969,Lvl,0,2,1164,1164,0,1164,7,140000
12438,RL,10,2006,Lvl,0,3,1264,1234,1312,2576,8,361919
7630,RM,8,1900,Lvl,0,2,1032,360,780,1812,5,140000
8400,RL,7,2004,Lvl,712,2,1484,1473,0,1484,7,213000
5600,RM,7,1930,Lvl,0,0,372,0,720,1092,4,55000
115149,RL,5,1971,Low,1219,2,1824,1643,0,1824,7,302000
6240,RL,6,2006,Lvl,863,2,1324,1324,0,1324,8,254000
9018,RL,8,2007,Lvl,0,2,728,728,728,1456,7,179540
7162,RL,6,1966,Lvl,0,1,904,876,0,904,5,109900
4130,RL,5,1935,Lvl,0,0,729,270,0,729,3,52000
8712,C (all),7,1900,HLS,0,1,859,859,319,1178,4,102776
4671,RL,5,1988,HLS,767,2,1228,1228,0,1228,8,189000
9873,RL,6,1970,Lvl,789,2,960,960,0,960,4,129000
13517,RL,6,1976,Lvl,533,2,725,725,754,1479,6,130500
10140,RL,7,1974,Lvl,0,2,1350,1064,0,1350,6,165000
10800,RM,8,1890,Bnk,0,2,1576,718,978,2554,7,159500
10000,RL,5,1973,Lvl,1084,2,1178,1176,0,1178,5,157000
10542,RL,9,1993,Lvl,1173,3,1325,1311,1093,2418,7,341000
9920,RL,5,1969,Lvl,523,1,971,971,0,971,5,128500
6563,RL,5,1985,Low,1148,2,1742,1742,0,1742,8,275000
4426,RM,3,2004,Lvl,662,2,848,848,0,848,6,143000
8120,RL,5,1970,Lvl,191,2,864,864,0,864,4,124500
8172,RL,7,1954,Lvl,0,1,997,941,473,1470,4,135000
13286,RL,8,2007,Lvl,1234,3,1698,1698,0,1698,9,320000
6960,RL,5,1970,Lvl,375,2,864,864,0,864,4,120500
21695,RL,5,1988,Lvl,808,2,1680,880,0,1680,6,222000
7314,RL,6,2007,Lvl,724,2,1232,1232,0,1232,7,194500
11475,RL,9,1958,Lvl,0,3,1776,1584,0,1776,5,110000
6240,RM,5,1925,Lvl,152,2,848,780,0,1208,4,103000
5389,RL,5,1995,Lvl,1180,2,1616,1595,0,1616,8,236500
9590,RL,6,2003,Lvl,786,2,1146,868,0,1146,7,187500
11404,RL,8,1998,Lvl,252,2,1153,1153,878,2031,7,222500
10000,RL,6,1961,Lvl,594,1,1144,864,0,1144,5,131400
8978,RL,6,1968,Lvl,0,1,948,948,0,948,5,108000
10800,RM,6,1914,Lvl,390,2,880,880,888,1768,7,163000
8544,RL,6,1950,Lvl,0,2,1040,0,0,1040,3,93500
10463,RL,8,2005,HLS,0,3,901,893,900,1801,8,239900
10800,RL,5,1987,Lvl,1200,0,1200,1200,0,1200,5,179000
9313,RL,7,2004,Lvl,0,2,864,864,864,1728,7,190000
9600,RM,7,1910,Lvl,0,2,768,264,664,1432,5,132000
6768,RL,5,1961,Lvl,832,1,912,912,0,912,6,142000
8450,RL,6,2000,Lvl,0,2,1349,1349,0,1349,7,179000
12886,RL,6,1963,Lvl,444,2,1464,520,0,1464,5,175000
5395,RL,5,1993,HLS,733,2,1337,1337,0,1337,8,180000
8963,RL,11,1976,Lvl,575,2,1175,1142,1540,2715,8,299800
8795,RL,8,2000,Lvl,300,2,980,952,1276,2256,7,236000
11700,RM,8,1880,Lvl,0,4,1320,1240,1320,2640,7,265979
10593,RL,7,1996,Lvl,919,2,1720,1720,0,1720,7,260400
8405,RL,9,1945,Lvl,0,1,1088,0,441,1529,4,98000
8800,RM,7,1910,Lvl,0,0,792,576,348,1140,4,96500
7750,RL,6,2003,Lvl,0,2,660,660,660,1320,7,162000
9236,RL,6,1997,Lvl,1200,2,1494,1479,0,1494,6,217000
10240,RL,8,2005,Lvl,0,3,1038,1030,1060,2098,8,275500
7930,RL,5,1969,Lvl,439,2,1026,1026,0,1026,6,156000
3230,FV,6,1999,Lvl,381,2,742,729,729,1471,6,172500
10769,RL,7,2007,Lvl,20,2,866,866,902,1768,8,212000
11616,RL,6,1978,Lvl,438,2,672,672,714,1386,6,158900
2280,FV,6,1999,Lvl,549,2,757,744,744,1501,7,179400
12257,RL,9,1995,Lvl,56,3,1328,1318,1203,2531,8,290000
9100,RL,5,1959,Lvl,612,1,864,864,0,864,6,127500
6911,RM,5,1924,Lvl,405,2,1301,1145,0,1301,5,100000
8640,FV,7,2009,Lvl,24,2,764,756,783,1547,7,215200
9430,RL,8,1999,Lvl,1163,3,1268,1252,1097,2365,8,337000
9549,RL,6,1995,Lvl,437,2,1494,1494,0,1494,8,270000
14587,RL,6,2008,Lvl,0,2,1506,1498,0,1506,9,264132
10421,RL,7,1988,Lvl,394,2,980,980,734,1714,7,196500
12508,RL,7,1940,Lvl,660,1,983,983,767,1750,6,160000
9100,RL,8,2004,Lvl,24,2,1836,1860,0,1836,7,216837
53504,RL,12,2003,HLS,1416,3,1690,1650,1589,3279,8,538000
7252,RL,5,1982,Lvl,685,2,858,858,0,858,5,134900
8877,RL,6,1951,Lvl,836,2,1220,836,0,1220,4,102000
7819,RL,6,1976,Lvl,422,2,1117,1029,0,1117,6,107000
10150,RL,5,1958,Lvl,456,1,912,912,0,912,5,114500
14226,RL,9,2006,Lvl,0,3,1973,1935,0,1973,8,395000
4500,RM,5,1998,Lvl,866,2,1204,1204,0,1204,6,162000
11210,RL,7,2005,Lvl,20,3,1614,1614,0,1614,7,221500
13350,RL,5,1974,Lvl,762,2,894,864,0,894,5,142500
8400,RH,10,1977,Lvl,0,2,2020,0,0,2020,5,144000
10530,RL,4,1977,Lvl,975,2,1004,975,0,1004,6,135000
7875,RL,6,1995,Lvl,0,2,1253,1237,0,1253,7,176000
7153,RL,7,1992,Lvl,387,2,810,761,793,1603,6,175900
16285,RL,6,2001,Lvl,0,2,1430,1413,0,1430,7,187100
9101,RL,4,1978,Lvl,1097,2,1110,1097,0,1110,5,165500
6300,RM,9,1914,Lvl,0,0,742,742,742,1484,6,128000
9790,RL,7,1967,Lvl,251,2,1342,1372,0,1342,6,161500
10800,RM,7,1915,Lvl,686,1,966,686,686,1652,5,139000
10142,RL,8,2004,Lvl,656,2,956,956,1128,2084,7,233000
